GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.073	175.255	0.9995	0.552	1.072	175.309	0.9995	0.548	1.232	170.216	1.0000	1.359	1.230	170.283	1.0000	1.320
 0	 1	0.986	172.405	0.9999	0.204	0.985	172.429	0.9999	0.233	1.074	170.337	0.9971	1.260	1.074	170.341	0.9971	1.253
 0	 2	0.959	170.400	0.9999	0.260	0.959	170.400	0.9999	0.260	1.034	169.112	0.9973	1.251	1.033	169.125	0.9973	1.251
 0	 3	0.907	171.775	0.9999	0.162	0.906	171.869	0.9999	0.184	0.985	169.577	0.9975	0.712	0.984	169.575	0.9979	0.725
 0	 4	0.901	170.245	0.9999	0.200	0.900	170.326	0.9999	0.212	0.964	168.923	0.9976	1.199	0.965	168.899	0.9976	1.176
 0	 5	0.885	169.125	0.9998	0.269	0.885	169.125	0.9998	0.269	0.929	168.748	0.9976	1.405	0.929	168.730	0.9976	1.402
 0	 6	0.852	169.915	1.0000	0.115	0.852	169.962	0.9999	0.151	0.902	168.656	0.9977	0.878	0.902	168.668	0.9978	0.873
 0	 7	0.849	168.500	0.9997	0.307	0.849	168.500	0.9997	0.307	0.880	168.379	0.9980	1.110	0.880	168.314	0.9983	1.203
 1	 0	1.039	151.350	0.9996	0.484	1.041	151.218	0.9995	0.533	1.262	143.825	1.0000	0.962	1.261	143.862	1.0000	0.997
 1	 1	0.945	150.920	1.0000	0.048	0.941	151.186	1.0000	0.074	1.116	144.473	0.9966	0.440	1.114	144.516	0.9967	0.490
 1	 2	0.914	149.935	0.9997	0.338	0.914	149.935	0.9997	0.338	1.075	143.737	0.9970	0.787	1.074	143.759	0.9970	0.793
