INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	5.799	5.254	5.228	4.745
 0	 1	6.313	6.146	6.027	5.873
 0	 2	4.741	4.664	4.591	4.507
 0	 3	5.957	5.864	5.854	5.761
 0	 4	4.676	4.601	4.775	4.713
 0	 5	4.746	4.736	4.878	4.890
 0	 6	5.497	5.497	5.842	5.848
 0	 7	6.213	6.112	6.576	6.492
 1	 0	7.529	6.872	6.126	5.585
 1	 1	6.820	6.707	5.992	5.892
 1	 2	6.769	6.609	6.158	6.015
 1	 3	6.712	6.647	6.264	6.203
 1	 4	5.974	5.871	5.660	5.570
 1	 5	6.366	6.309	6.146	6.088
 1	 6	6.000	5.711	5.938	5.672
 1	 7	7.472	7.369	7.429	7.328
 2	 0	7.269	6.560	5.988	5.402
 2	 1	6.331	6.161	5.520	5.385
 2	 2	5.871	5.732	5.274	5.147
 2	 3	5.708	5.631	5.333	5.261
 2	 4	5.661	5.597	5.450	5.379
 2	 5	5.354	5.277	5.178	5.112
 2	 6	5.680	5.453	5.624	5.419
 2	 7	7.159	7.089	7.236	7.169
 3	 0	7.630	7.047	6.127	5.678
 3	 1	6.351	6.188	5.562	5.473
 3	 2	6.079	5.936	5.406	5.281
 3	 3	6.595	6.560	6.031	5.998
 3	 4	5.458	5.252	5.106	4.915
 3	 5	6.856	6.778	6.442	6.382
 3	 6	6.498	6.321	6.102	5.928
 3	 7	7.286	7.093	7.025	6.834
 4	 0	4.718	4.327	3.783	3.487
 4	 1	5.585	5.465	4.902	4.804
 4	 2	5.529	5.441	4.966	4.887
 4	 3	5.455	5.378	4.992	4.930
 4	 4	5.352	5.073	4.959	4.713
 4	 5	5.913	5.888	5.496	5.480
 4	 6	5.351	5.219	5.014	4.890
 4	 7	5.468	5.438	5.116	5.085
 5	 0	4.901	4.655	3.980	3.780
 5	 1	5.644	5.636	4.863	4.858
 5	 2	5.542	5.389	4.835	4.693
 5	 3	5.474	5.416	4.813	4.764
 5	 4	5.139	5.029	4.577	4.484
 5	 5	5.611	5.570	4.989	4.938
 5	 6	5.696	5.607	5.100	5.030
 5	 7	5.944	5.944	5.468	5.461
 6	 0	4.843	4.718	3.876	3.777
 6	 1	6.198	6.080	5.249	5.155
 6	 2	5.619	5.480	4.861	4.752
 6	 3	5.536	5.421	4.775	4.687
 6	 4	4.961	4.898	4.329	4.277
 6	 5	5.626	5.527	5.111	5.063
 6	 6	5.295	5.107	4.894	4.726
 6	 7	6.130	6.083	5.704	5.668
 7	 0	4.059	3.966	3.290	3.228
 7	 1	4.821	4.755	4.185	4.122
 7	 2	5.022	4.972	4.463	4.399
 7	 3	4.687	4.639	4.177	4.163
 7	 4	4.694	4.592	4.266	4.171
 7	 5	5.007	5.006	4.761	4.734
 7	 6	5.245	5.107	5.039	4.894
 7	 7	5.757	5.713	5.555	5.476
