INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
14	 7	4.016	3.942	3.593	3.566
15	 0	3.291	3.273	2.652	2.647
15	 1	3.024	2.979	2.652	2.618
15	 2	3.223	3.228	2.852	2.850
15	 3	3.404	3.390	2.983	2.981
15	 4	3.570	3.499	3.173	3.141
15	 5	3.832	3.813	3.358	3.309
15	 6	4.028	4.042	3.467	3.478
15	 7	4.203	4.208	3.743	3.751
16	 0	3.265	3.186	2.667	2.601
16	 1	3.036	2.900	2.586	2.479
16	 2	2.953	2.885	2.537	2.465
16	 3	2.928	2.862	2.534	2.475
16	 4	2.923	2.864	2.564	2.516
16	 5	3.018	2.969	2.649	2.608
16	 6	3.119	3.057	2.710	2.642
16	 7	3.235	3.157	2.834	2.751
17	 0	2.749	2.665	2.316	2.251
17	 1	2.608	2.575	2.299	2.272
17	 2	2.511	2.412	2.249	2.161
17	 3	2.541	2.515	2.287	2.274
17	 4	2.627	2.591	2.329	2.300
17	 5	2.704	2.708	2.409	2.404
17	 6	2.830	2.765	2.491	2.440
17	 7	2.871	2.818	2.587	2.540
18	 0	3.114	3.102	2.531	2.524
18	 1	3.144	3.104	2.658	2.619
18	 2	3.136	3.100	2.673	2.649
18	 3	3.040	3.022	2.646	2.634
18	 4	3.037	2.975	2.646	2.590
18	 5	3.137	3.104	2.783	2.756
18	 6	3.202	3.184	2.843	2.817
18	 7	3.293	3.235	2.953	2.903
19	 0	2.105	2.057	1.771	1.737
19	 1	2.098	1.998	1.813	1.728
19	 2	1.991	1.936	1.736	1.688
19	 3	2.012	1.965	1.800	1.762
19	 4	2.214	2.179	1.991	1.951
19	 5	2.218	2.133	1.977	1.894
19	 6	2.360	2.319	2.138	2.098
19	 7	2.504	2.408	2.289	2.222
20	 0	2.890	2.827	2.367	2.330
20	 1	2.887	2.844	2.495	2.463
20	 2	2.735	2.644	2.446	2.368
20	 3	2.973	2.912	2.653	2.603
20	 4	2.791	2.725	2.497	2.432
20	 5	2.866	2.838	2.583	2.554
20	 6	3.035	2.944	2.759	2.687
20	 7	2.949	2.872	2.714	2.634
21	 0	3.098	3.055	2.499	2.474
21	 1	2.819	2.793	2.397	2.391
21	 2	2.948	2.909	2.542	2.512
21	 3	3.033	2.985	2.565	2.533
21	 4	3.093	3.020	2.638	2.569
21	 5	3.210	3.213	2.740	2.728
21	 6	3.189	3.156	2.756	2.729
21	 7	3.390	3.350	2.949	2.920
22	 0	3.351	3.371	2.758	2.762
22	 1	3.191	3.176	2.765	2.750
22	 2	3.038	3.024	2.736	2.732
22	 3	3.182	3.123	2.774	2.747
22	 4	3.197	3.165	2.763	2.741
22	 5	3.160	3.078	2.845	2.766
22	 6	3.125	3.080	2.754	2.716
22	 7	3.235	3.138	2.872	2.798
23	 0	3.562	3.405	2.830	2.696
23	 1	3.323	3.293	2.749	2.700
23	 2	3.222	3.225	2.738	2.726
23	 3	3.227	3.199	2.661	2.638
23	 4	3.180	3.130	2.682	2.642
23	 5	3.209	3.117	2.790	2.718
23	 6	3.157	3.106	2.698	2.668
23	 7	3.301	3.232	2.850	2.793
24	 0	3.641	3.588	2.917	2.874
24	 1	3.375	3.248	2.819	2.728
24	 2	3.254	3.096	2.733	2.600
24	 3	3.278	3.172	2.711	2.623
24	 4	3.208	3.105	2.690	2.610
24	 5	3.261	3.183	2.752	2.676
24	 6	3.335	3.296	2.814	2.759
24	 7	3.191	3.140	2.717	2.678
25	 0	3.288	3.241	2.653	2.597
25	 1	2.981	2.984	2.574	2.566
25	 2	3.062	2.968	2.614	2.531
25	 3	3.016	2.930	2.574	2.506
25	 4	3.042	3.046	2.641	2.639
25	 5	2.927	2.880	2.581	2.537
25	 6	3.111	3.044	2.755	2.700
25	 7	3.238	3.192	2.905	2.863
26	 0	3.026	2.998	2.487	2.464
26	 1	3.079	3.018	2.636	2.593
26	 2	3.043	3.050	2.576	2.574
26	 3	3.079	3.060	2.620	2.607
26	 4	3.120	3.088	2.686	2.663
26	 5	3.084	3.033	2.650	2.595
26	 6	3.087	3.053	2.678	2.644
26	 7	3.328	3.322	2.875	2.874
