Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
1.5417	1.5208	1.5625	1.5417	1.5417	1.5000	1.5208	1.5417	1.5000	1.5000	1.5000	1.5417	1.5208	1.5208	1.5833	1.5208	1.5417	1.5625	1.5417	1.5208	1.5208	1.5417	1.5208	1.5417	1.5417	1.5208	1.5417	1.5417	1.5000	1.4792	1.5208	1.5417	1.5293	0.0217	1.5313	  2	1.5292	0.0178
1.7708	1.7500	1.7708	1.7708	1.8542	1.7708	1.7917	1.8542	1.7708	1.8125	1.8125	1.8125	1.8125	1.8125	1.8125	1.8125	1.8333	1.7917	1.7917	1.8125	1.7708	1.7917	1.7917	1.8333	1.7708	1.7917	1.8542	1.7917	1.7708	1.8125	1.7500	1.7917	1.7982	0.0282	1.7917	  0	1.7982	0.0282
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Median values [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2708	0.2708	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2904	0.0051	0.2917	  2	0.2917	0.0000
0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4583	0.4583	0.4792	0.4583	0.0053	0.4583	  2	0.4583	0.0000
0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6458	0.6250	0.6250	0.6250	0.6042	0.6458	0.6250	0.6250	0.6250	0.6250	0.6458	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6458	0.6250	0.6270	0.0081	0.6250	  5	0.6250	0.0000
0.7917	0.8125	0.7917	0.7917	0.8125	0.7917	0.8333	0.8125	0.7917	0.7917	0.8333	0.7708	0.7917	0.7917	0.8125	0.7708	0.7917	0.8125	0.7917	0.8333	0.7917	0.7917	0.7917	0.8333	0.8125	0.7917	0.7917	0.7917	0.7917	0.7917	0.7917	0.7917	0.7995	0.0165	0.7917	 12	0.7917	0.0000
0.9792	0.9375	0.9583	0.9375	0.9792	0.9583	0.9583	0.9583	0.9583	0.9583	0.9583	1.0000	0.9583	0.9583	0.9583	0.9583	0.9583	0.9792	1.0208	0.9792	0.9583	0.9583	0.9583	0.9792	0.9583	0.9583	0.9583	0.9583	0.9583	0.9375	0.9583	0.9583	0.9629	0.0165	0.9583	 10	0.9583	0.0000
1.2500	1.2500	1.2083	1.2083	1.2708	1.2292	1.2500	1.2500	1.2292	1.2500	1.2083	1.2083	1.2292	1.2083	1.2500	1.2500	1.2500	1.2083	1.2500	1.2500	1.2083	1.2083	1.2500	1.2292	1.2292	1.2083	1.2500	1.2500	1.2500	1.2083	1.2500	1.2500	1.2344	0.0198	1.2500	  0	1.2344	0.0198
1.5208	1.4583	1.5417	1.4792	1.5000	1.5000	1.4375	1.5000	1.5000	1.5000	1.5000	1.5000	1.5208	1.5000	1.5000	1.5417	1.5000	1.4583	1.5208	1.4792	1.4583	1.4583	1.5000	1.5000	1.5000	1.5208	1.5000	1.5208	1.4375	1.4792	1.4792	1.4583	1.4928	0.0268	1.5000	  0	1.4928	0.0268
1.7500	1.7500	1.7083	1.7500	1.7083	1.7708	1.7292	1.7708	1.7292	1.7917	1.7083	1.7083	1.8125	1.7708	1.8125	1.7708	1.7083	1.7500	1.7917	1.7292	1.7708	1.7500	1.7083	1.8125	1.7083	1.7917	1.7708	1.6875	1.7708	1.6875	1.7083	1.7917	1.7493	0.0380	1.7500	  0	1.7493	0.0380
