INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	2.182	2.163	1.945	1.934
 0	 1	2.198	1.863	2.051	1.743
 0	 2	2.298	2.282	2.213	2.206
 0	 3	2.308	2.305	2.265	2.266
 0	 4	2.330	2.330	2.319	2.338
 0	 5	2.447	2.447	2.431	2.435
 0	 6	2.390	2.390	2.418	2.419
 0	 7	2.437	2.441	2.470	2.473
 1	 0	2.750	2.499	2.326	2.115
 1	 1	2.761	2.699	2.436	2.390
 1	 2	2.543	2.515	2.251	2.227
 1	 3	2.675	2.638	2.407	2.377
 1	 4	2.638	2.611	2.467	2.443
 1	 5	2.712	2.656	2.611	2.560
 1	 6	2.820	2.771	2.745	2.702
 1	 7	2.796	2.737	2.771	2.707
 2	 0	2.593	2.496	2.196	2.116
 2	 1	2.514	2.504	2.208	2.202
 2	 2	2.561	2.557	2.265	2.266
 2	 3	2.527	2.529	2.295	2.287
 2	 4	2.481	2.481	2.269	2.274
 2	 5	2.604	2.599	2.404	2.412
 2	 6	2.710	2.710	2.509	2.511
 2	 7	2.775	2.776	2.624	2.620
 3	 0	2.791	2.409	2.326	2.012
 3	 1	2.598	2.410	2.361	2.191
 3	 2	2.615	2.481	2.347	2.233
 3	 3	2.770	2.533	2.547	2.331
 3	 4	2.799	2.672	2.608	2.483
 3	 5	2.790	2.675	2.660	2.548
 3	 6	2.833	2.733	2.679	2.589
 3	 7	2.903	2.829	2.755	2.683
 4	 0	2.700	2.449	2.271	2.067
 4	 1	2.623	2.501	2.320	2.220
 4	 2	2.667	2.570	2.440	2.356
 4	 3	2.610	2.585	2.399	2.375
 4	 4	2.690	2.607	2.514	2.435
 4	 5	2.787	2.700	2.604	2.537
 4	 6	2.653	2.642	2.515	2.504
 4	 7	2.879	2.822	2.783	2.728
 5	 0	3.084	2.605	2.547	2.146
 5	 1	2.843	2.615	2.527	2.323
 5	 2	2.824	2.727	2.526	2.442
 5	 3	2.718	2.539	2.489	2.320
 5	 4	2.795	1.631	2.615	1.527
 5	 5	2.733	2.677	2.599	2.552
 5	 6	2.840	2.816	2.696	2.664
 5	 7	2.930	2.822	2.798	2.693
 6	 0	3.687	3.596	2.935	2.865
 6	 1	3.343	3.323	2.861	2.846
 6	 2	3.149	3.072	2.766	2.702
 6	 3	3.081	2.995	2.766	2.689
 6	 4	2.950	2.906	2.726	2.689
 6	 5	3.063	3.002	2.826	2.760
 6	 6	3.048	3.012	2.857	2.826
 6	 7	3.116	3.114	2.920	2.919
 7	 0	3.872	3.730	3.053	2.930
 7	 1	3.259	2.818	2.815	2.438
 7	 2	3.147	2.880	2.762	2.533
 7	 3	2.977	2.694	2.644	2.386
 7	 4	2.810	2.745	2.532	2.474
 7	 5	3.116	2.851	2.856	2.614
 7	 6	2.995	2.696	2.729	2.459
 7	 7	3.049	2.792	2.784	2.545
 8	 0	3.988	3.770	3.256	3.072
 8	 1	3.314	2.846	2.928	2.503
 8	 2	3.371	3.056	3.022	2.738
 8	 3	3.213	3.032	2.964	2.803
 8	 4	3.303	3.055	3.064	2.810
 8	 5	3.671	3.351	3.453	3.155
 8	 6	3.684	3.289	3.523	3.155
 8	 7	4.314	3.699	4.032	3.456
 9	 0	3.468	3.377	2.869	2.804
 9	 1	3.182	3.187	2.799	2.804
 9	 2	3.143	3.055	2.788	2.704
 9	 3	3.065	2.998	2.826	2.772
 9	 4	3.361	3.164	3.102	2.931
 9	 5	3.516	3.297	3.272	3.066
 9	 6	3.662	3.660	3.460	3.462
 9	 7	3.954	3.942	3.735	3.740
10	 0	3.460	3.397	2.822	2.784
10	 1	3.153	2.889	2.645	2.419
10	 2	3.128	2.845	2.727	2.482
10	 3	3.174	2.969	2.849	2.659
10	 4	3.141	2.911	2.826	2.615
10	 5	3.578	3.177	3.327	2.957
10	 6	3.685	3.327	3.517	3.184
10	 7	4.133	4.140	3.891	3.879
11	 0	2.621	2.407	2.205	2.035
11	 1	2.643	2.540	2.294	2.210
11	 2	2.565	2.535	2.300	2.267
11	 3	2.711	2.630	2.490	2.422
11	 4	2.968	2.868	2.711	2.612
11	 5	3.148	3.051	2.941	2.853
11	 6	3.307	3.238	3.131	3.076
11	 7	3.553	3.342	3.418	3.223
12	 0	2.842	2.594	2.362	2.150
12	 1	2.852	2.758	2.505	2.412
12	 2	2.879	2.773	2.599	2.505
12	 3	2.943	2.841	2.718	2.633
12	 4	3.130	2.960	2.911	2.745
12	 5	3.314	3.095	3.151	2.943
12	 6	3.571	3.227	3.450	3.128
12	 7	3.891	3.611	3.770	3.493
13	 0	3.062	2.787	2.480	2.257
13	 1	2.778	2.604	2.426	2.286
13	 2	3.053	2.822	2.667	2.468
13	 3	3.236	3.053	2.895	2.713
13	 4	3.494	3.098	3.209	2.847
13	 5	3.904	3.418	3.650	3.179
13	 6	4.004	3.450	3.858	3.348
13	 7	4.593	4.582	4.346	4.319
14	 0	2.620	2.614	2.160	2.161
14	 1	2.687	2.652	2.348	2.320
14	 2	3.068	2.997	2.675	2.623
14	 3	3.163	3.090	2.831	2.762
14	 4	3.436	3.433	3.105	3.114
14	 5	3.842	3.840	3.569	3.567
14	 6	4.034	4.034	3.836	3.864
14	 7	4.394	4.394	4.201	4.212
15	 0	2.739	2.526	2.269	2.094
15	 1	2.720	2.649	2.421	2.370
15	 2	2.816	2.703	2.566	2.473
15	 3	3.183	3.004	2.941	2.786
15	 4	3.380	3.214	3.177	3.024
15	 5	3.680	3.386	3.521	3.241
15	 6	3.855	3.429	3.772	3.369
15	 7	4.513	3.907	4.391	3.823
16	 0	2.660	2.440	2.213	2.027
16	 1	2.692	2.570	2.380	2.277
16	 2	2.638	2.588	2.350	2.318
16	 3	2.781	2.596	2.540	2.372
16	 4	2.766	2.667	2.550	2.461
16	 5	2.823	2.728	2.599	2.533
16	 6	3.037	2.926	2.838	2.739
16	 7	2.960	2.865	2.802	2.710
17	 0	2.821	2.717	2.349	2.267
17	 1	2.723	2.646	2.382	2.305
17	 2	2.576	2.488	2.341	2.257
17	 3	2.682	2.655	2.519	2.493
17	 4	2.813	2.720	2.635	2.552
17	 5	2.877	2.821	2.753	2.700
17	 6	2.895	2.905	2.737	2.743
17	 7	2.941	2.835	2.825	2.717
18	 0	2.434	2.323	2.087	1.986
18	 1	2.397	2.371	2.168	2.147
18	 2	2.416	2.380	2.255	2.235
18	 3	2.402	2.389	2.311	2.304
18	 4	2.534	2.525	2.512	2.495
18	 5	2.693	2.639	2.675	2.622
18	 6	2.554	2.514	2.597	2.558
18	 7	2.819	2.782	2.891	2.854
19	 0	2.581	2.592	2.132	2.137
19	 1	2.570	2.540	2.221	2.190
19	 2	2.551	2.506	2.263	2.222
19	 3	2.633	2.624	2.419	2.410
19	 4	2.657	2.637	2.434	2.415
19	 5	2.655	2.651	2.522	2.521
19	 6	2.691	2.640	2.559	2.509
19	 7	2.803	2.782	2.667	2.638
20	 0	3.097	2.689	2.577	2.241
20	 1	2.942	2.786	2.559	2.417
20	 2	2.820	2.742	2.501	2.441
20	 3	2.965	2.859	2.643	2.542
20	 4	3.135	3.044	2.836	2.752
20	 5	2.967	2.977	2.709	2.717
20	 6	3.105	2.922	2.848	2.689
20	 7	3.062	2.971	2.847	2.769
21	 0	3.219	2.644	2.704	2.226
21	 1	3.056	2.872	2.734	2.559
21	 2	2.938	2.685	2.673	2.441
21	 3	2.929	2.770	2.691	2.554
21	 4	2.910	2.788	2.686	2.578
21	 5	2.872	2.794	2.757	2.693
21	 6	2.978	2.826	2.848	2.698
21	 7	2.984	2.922	2.853	2.786
22	 0	3.020	2.858	2.458	2.327
22	 1	2.820	2.785	2.406	2.365
22	 2	2.835	2.793	2.468	2.432
22	 3	2.680	2.642	2.394	2.364
22	 4	2.639	2.624	2.388	2.381
22	 5	2.780	2.746	2.556	2.521
22	 6	2.873	2.860	2.711	2.699
22	 7	2.836	2.820	2.676	2.663
23	 0	3.892	3.593	3.198	2.954
23	 1	3.395	3.058	2.965	2.672
23	 2	3.285	3.121	2.877	2.738
23	 3	3.303	3.174	2.946	2.845
23	 4	3.220	3.121	2.918	2.836
23	 5	3.322	3.178	2.972	2.837
23	 6	3.339	3.211	3.070	2.937
23	 7	3.309	3.226	3.040	2.955
24	 0	3.666	3.551	2.943	2.859
24	 1	3.011	2.657	2.630	2.319
24	 2	2.892	2.586	2.607	2.339
24	 3	2.950	2.641	2.685	2.400
24	 4	2.730	2.639	2.515	2.443
24	 5	2.919	2.730	2.745	2.568
24	 6	2.859	2.682	2.692	2.516
24	 7	2.960	2.870	2.787	2.703
25	 0	3.795	3.702	3.060	2.994
25	 1	3.637	3.279	3.056	2.758
25	 2	3.434	3.228	2.962	2.788
25	 3	3.338	3.198	2.948	2.820
25	 4	3.303	3.239	2.952	2.895
25	 5	3.388	3.290	3.125	3.035
25	 6	3.335	3.264	3.068	3.007
25	 7	3.273	3.173	3.042	2.947
26	 0	2.951	2.735	2.460	2.284
26	 1	2.897	2.801	2.516	2.438
26	 2	2.931	2.848	2.579	2.500
26	 3	2.706	2.653	2.451	2.407
26	 4	2.716	2.668	2.466	2.429
26	 5	2.947	2.880	2.720	2.666
26	 6	2.960	2.952	2.728	2.718
26	 7	3.044	3.041	2.828	2.829
27	 0	3.227	2.828	2.633	2.311
27	 1	3.106	2.978	2.611	2.508
27	 2	2.833	2.732	2.426	2.346
27	 3	2.901	2.757	2.551	2.424
27	 4	2.998	2.857	2.674	2.545
27	 5	2.986	2.890	2.642	2.563
27	 6	2.896	2.887	2.673	2.661
27	 7	3.058	2.995	2.779	2.719
28	 0	3.003	2.675	2.465	2.189
28	 1	3.104	2.931	2.632	2.500
28	 2	2.951	2.835	2.556	2.445
28	 3	2.967	2.870	2.658	2.567
28	 4	2.829	2.764	2.554	2.499
28	 5	2.810	2.754	2.538	2.493
28	 6	2.997	2.911	2.736	2.658
28	 7	2.903	2.845	2.687	2.628
29	 0	2.671	2.476	2.246	2.076
29	 1	2.709	2.627	2.359	2.295
29	 2	2.639	2.606	2.357	2.327
29	 3	2.682	2.605	2.412	2.347
29	 4	2.690	2.661	2.445	2.419
29	 5	2.781	2.729	2.545	2.496
29	 6	2.874	2.797	2.647	2.580
29	 7	2.810	2.771	2.601	2.564
30	 0	2.794	2.638	2.310	2.184
