GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.061	193.215	0.9993	0.648	1.061	193.274	0.9992	0.678	1.255	186.110	1.0000	0.994	1.257	186.053	1.0000	1.040
 0	 1	0.950	191.960	0.9998	0.270	0.951	191.870	0.9998	0.273	1.073	186.996	0.9971	1.031	1.073	186.971	0.9971	1.055
 0	 2	0.930	189.940	0.9997	0.365	0.930	189.969	0.9995	0.470	1.026	186.203	0.9976	0.595	1.024	186.239	0.9977	0.692
 0	 3	0.913	188.785	0.9999	0.214	0.913	188.785	0.9999	0.214	0.997	185.728	0.9973	0.711	0.997	185.731	0.9974	0.734
 0	 4	0.884	189.070	1.0000	0.129	0.884	189.070	1.0000	0.129	0.962	185.984	0.9978	0.713	0.962	185.929	0.9979	0.672
 0	 5	0.887	186.935	0.9994	0.495	0.887	186.935	0.9994	0.495	0.945	185.277	0.9979	0.630	0.940	185.484	0.9981	0.745
 0	 6	0.884	185.585	0.9998	0.287	0.884	185.585	0.9998	0.287	0.928	184.645	0.9977	1.024	0.927	184.639	0.9982	1.112
 0	 7	0.869	185.240	0.9998	0.287	0.869	185.240	0.9998	0.287	0.901	184.850	0.9980	0.994	0.899	184.911	0.9984	0.976
 1	 0	1.103	207.285	1.0000	0.160	1.104	207.239	0.9999	0.178	1.346	198.443	1.0000	0.990	1.344	198.508	1.0000	1.001
 1	 1	1.022	204.105	1.0000	0.140	1.024	203.988	0.9999	0.163	1.187	198.310	0.9968	0.639	1.186	198.335	0.9968	0.659
 1	 2	0.968	204.365	0.9997	0.347	0.968	204.410	0.9997	0.384	1.131	197.686	0.9972	0.666	1.132	197.640	0.9972	0.772
 1	 3	0.956	202.875	1.0000	0.105	0.953	203.055	0.9994	0.511	1.111	196.757	0.9971	0.765	1.107	196.844	0.9973	1.014
 1	 4	0.944	202.130	0.9999	0.160	0.944	202.130	0.9999	0.160	1.074	197.180	0.9975	0.528	1.074	197.165	0.9977	0.521
 1	 5	0.921	201.750	0.9997	0.370	0.921	201.750	0.9997	0.370	1.055	196.453	0.9974	0.602	1.055	196.423	0.9977	0.611
 1	 6	0.903	201.265	1.0000	0.142	0.900	201.552	1.0000	0.138	1.035	195.810	0.9974	0.567	1.038	195.718	0.9974	0.622
