ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 0	 0
 0	 1	 0	 0
 0	 2	 0	 0
 0	 3	 0	 0
 0	 4	 0	 0
 0	 5	 0	 0
 0	 6	 0	 0
 0	 7	 0	 0
 1	 0	 0	 0
 1	 1	 0	 0
 1	 2	 0	 0
 1	 3	 0	 0
 1	 4	 0	 0
 1	 5	 0	 0
 1	 6	 0	 0
 1	 7	 0	 0
 2	 0	 6	 6
 2	 1	 6	 6
 2	 2	 6	 6
 2	 3	 6	 6
 2	 4	 6	 6
 2	 5	 6	 6
 2	 6	 6	 6
 2	 7	 6	 6
 3	 0	 0	 0
 3	 1	 0	 0
 3	 2	 0	 0
 3	 3	 0	 0
 3	 4	 0	 0
 3	 5	 0	 0
 3	 6	 0	 0
 3	 7	 0	 0
 4	 0	 5	 5
 4	 1	 5	 5
 4	 2	 5	 5
 4	 3	 5	 5
 4	 4	 5	 5
 4	 5	 5	 5
 4	 6	 5	 5
 4	 7	 5	 5
 5	 0	 7	 7
 5	 1	 7	 7
 5	 2	 7	 7
 5	 3	 7	 7
 5	 4	 7	 7
 5	 5	 7	 7
 5	 6	 7	 7
 5	 7	 7	 7
 6	 0	 0	 0
 6	 1	 0	 0
 6	 2	 0	 0
 6	 3	 0	 0
 6	 4	 0	 0
 6	 5	 0	 0
 6	 6	 0	 0
 6	 7	 0	 0
 7	 0	 7	 7
 7	 1	 7	 7
 7	 2	 7	 7
 7	 3	 7	 7
 7	 4	 7	 7
 7	 5	 7	 7
 7	 6	 7	 7
 7	 7	 7	 7
 8	 0	 1	 1
 8	 1	 1	 1
 8	 2	 1	 1
 8	 3	 1	 1
 8	 4	 1	 1
 8	 5	 1	 1
 8	 6	 1	 1
 8	 7	 1	 1
 9	 0	 0	 0
 9	 1	 0	 0
 9	 2	 0	 0
 9	 3	 0	 0
 9	 4	 0	 0
 9	 5	 0	 0
 9	 6	 0	 0
 9	 7	 0	 0
10	 0	 6	 6
10	 1	 6	 6
10	 2	 6	 6
10	 3	 6	 6
10	 4	 6	 6
10	 5	 6	 6
10	 6	 6	 6
10	 7	 6	 6
11	 0	 7	 7
11	 1	 7	 7
11	 2	 7	 7
11	 3	 7	 7
11	 4	 7	 7
11	 5	 7	 7
11	 6	 7	 7
11	 7	 7	 7
12	 0	 6	 6
12	 1	 6	 6
12	 2	 6	 6
12	 3	 6	 6
12	 4	 6	 6
12	 5	 6	 6
12	 6	 6	 6
12	 7	 6	 6
13	 0	 0	 0
13	 1	 0	 0
13	 2	 0	 0
13	 3	 0	 0
13	 4	 0	 0
13	 5	 0	 0
13	 6	 0	 0
13	 7	 0	 0
14	 0	 7	 7
14	 1	 7	 7
14	 2	 7	 7
14	 3	 7	 7
14	 4	 7	 7
14	 5	 7	 7
14	 6	 7	 7
14	 7	 7	 7
15	 0	 0	 0
15	 1	 0	 0
15	 2	 0	 0
15	 3	 0	 0
15	 4	 0	 0
15	 5	 0	 0
15	 6	 0	 0
15	 7	 0	 0
16	 0	 3	 3
16	 1	 3	 3
16	 2	 3	 3
16	 3	 3	 3
16	 4	 3	 3
16	 5	 3	 3
16	 6	 3	 3
16	 7	 3	 3
17	 0	 7	 7
17	 1	 7	 7
17	 2	 7	 7
17	 3	 7	 7
17	 4	 7	 7
17	 5	 7	 7
17	 6	 7	 7
17	 7	 7	 7
18	 0	 0	 0
18	 1	 0	 0
18	 2	 0	 0
18	 3	 0	 0
18	 4	 0	 0
18	 5	 0	 0
18	 6	 0	 0
18	 7	 0	 0
19	 0	 7	 7
19	 1	 7	 7
19	 2	 7	 7
19	 3	 7	 7
19	 4	 7	 7
19	 5	 7	 7
19	 6	 7	 7
19	 7	 7	 7
20	 0	 2	 2
20	 1	 2	 2
20	 2	 2	 2
20	 3	 2	 2
20	 4	 2	 2
20	 5	 2	 2
20	 6	 2	 2
20	 7	 2	 2
21	 0	 5	 5
21	 1	 5	 5
21	 2	 5	 5
21	 3	 5	 5
21	 4	 5	 5
21	 5	 5	 5
21	 6	 5	 5
21	 7	 5	 5
22	 0	 2	 2
22	 1	 2	 2
22	 2	 2	 2
22	 3	 2	 2
22	 4	 2	 2
22	 5	 2	 2
22	 6	 2	 2
22	 7	 2	 2
23	 0	 7	 7
23	 1	 7	 7
23	 2	 7	 7
23	 3	 7	 7
23	 4	 7	 7
23	 5	 7	 7
23	 6	 7	 7
23	 7	 7	 7
24	 0	 7	 7
24	 1	 7	 7
24	 2	 7	 7
24	 3	 7	 7
24	 4	 7	 7
24	 5	 7	 7
24	 6	 7	 7
24	 7	 7	 7
25	 0	 0	 0
25	 1	 0	 0
25	 2	 0	 0
25	 3	 0	 0
25	 4	 0	 0
25	 5	 0	 0
25	 6	 0	 0
25	 7	 0	 0
26	 0	 5	 5
26	 1	 5	 5
26	 2	 5	 5
26	 3	 5	 5
26	 4	 5	 5
26	 5	 5	 5
26	 6	 5	 5
26	 7	 5	 5
27	 0	 0	 0
27	 1	 0	 0
27	 2	 0	 0
27	 3	 0	 0
27	 4	 0	 0
27	 5	 0	 0
27	 6	 0	 0
27	 7	 0	 0
28	 0	 7	 7
28	 1	 7	 7
28	 2	 7	 7
28	 3	 7	 7
28	 4	 7	 7
28	 5	 7	 7
28	 6	 7	 7
28	 7	 7	 7
29	 0	 4	 4
29	 1	 4	 4
29	 2	 4	 4
29	 3	 4	 4
29	 4	 4	 4
29	 5	 4	 4
29	 6	 4	 4
29	 7	 5	 5
30	 0	 2	 2
30	 1	 2	 2
30	 2	 2	 2
30	 3	 2	 2
30	 4	 2	 2
30	 5	 2	 2
30	 6	 2	 2
30	 7	 2	 2
31	 0	 7	 7
31	 1	 7	 7
31	 2	 7	 7
31	 3	 7	 7
31	 4	 7	 7
31	 5	 7	 7
31	 6	 7	 7
31	 7	 7	 7
