ch	pt	m	q
 0	 0	0.2570	94.3316
 0	 1	0.2287	98.1023
 0	 2	0.1973	102.1318
 0	 3	0.1987	101.9778
 0	 4	0.2116	100.3107
 0	 5	0.2457	95.7557
 0	 6	0.2367	97.0003
 0	 7	0.1747	105.1441
 1	 0	0.1662	100.7081
 1	 1	0.1612	101.5619
 1	 2	0.1731	99.5047
 1	 3	0.1526	102.9639
 1	 4	0.1376	105.4313
 1	 5	0.1827	97.9710
 1	 6	0.1585	101.9743
 1	 7	0.1651	100.8814
 2	 0	0.1977	105.7840
 2	 1	0.1774	108.0877
 2	 2	0.1754	108.2300
 2	 3	0.1717	108.6834
 2	 4	0.1587	110.1936
 2	 5	0.2014	105.3145
 2	 6	0.1485	111.3878
 2	 7	0.1820	107.6063
 3	 0	0.2318	99.5327
 3	 1	0.1675	107.5011
 3	 2	0.1560	108.8333
 3	 3	0.1635	107.9336
 3	 4	0.1436	110.4658
 3	 5	0.1760	106.4411
 3	 6	0.1576	108.7119
 3	 7	0.1734	106.7720
 4	 0	0.2612	98.2571
 4	 1	0.1932	106.0542
 4	 2	0.1606	109.6832
 4	 3	0.1866	106.7703
 4	 4	0.1733	108.2871
 4	 5	0.1809	107.3577
 4	 6	0.1710	108.5862
 4	 7	0.1636	109.3860
 5	 0	0.2460	98.2716
 5	 1	0.1810	106.1691
 5	 2	0.1604	108.6048
 5	 3	0.1598	108.7098
 5	 4	0.1568	109.1027
 5	 5	0.2004	103.7483
 5	 6	0.1556	109.2200
 5	 7	0.1660	107.9818
 6	 0	0.2547	91.7074
 6	 1	0.2052	98.7757
 6	 2	0.1694	103.8189
 6	 3	0.1686	104.0001
 6	 4	0.1505	106.6086
 6	 5	0.1819	102.0781
 6	 6	0.1526	106.3283
 6	 7	0.1578	105.6438
 7	 0	0.2481	97.4601
 7	 1	0.2063	102.6366
 7	 2	0.1743	106.4797
 7	 3	0.1854	105.2087
 7	 4	0.1619	108.1194
 7	 5	0.1962	103.8475
 7	 6	0.1692	107.2453
 7	 7	0.1706	107.0685
 8	 0	0.2478	95.4701
 8	 1	0.2188	99.2301
 8	 2	0.1849	103.6476
 8	 3	0.1864	103.4909
 8	 4	0.1979	101.9984
 8	 5	0.2260	98.2513
 8	 6	0.2159	99.6097
 8	 7	0.2127	100.0439
 9	 0	0.2537	93.6903
 9	 1	0.2065	100.1285
 9	 2	0.1818	103.3771
 9	 3	0.2012	100.8188
 9	 4	0.1888	102.5067
 9	 5	0.2232	97.7673
 9	 6	0.2104	99.5598
 9	 7	0.2270	97.3214
10	 0	0.2292	90.9634
10	 1	0.2087	94.2316
10	 2	0.1812	98.6448
10	 3	0.1950	96.5028
10	 4	0.1908	97.1442
10	 5	0.2102	94.0033
10	 6	0.2137	93.4736
10	 7	0.2111	93.8826
11	 0	0.2660	101.4584
11	 1	0.2107	106.9815
11	 2	0.2047	107.4877
11	 3	0.2216	105.8641
11	 4	0.2071	107.3135
11	 5	0.2555	102.3714
11	 6	0.2403	103.9970
11	 7	0.2397	104.0232
12	 0	0.2670	92.5105
12	 1	0.2135	99.6446
12	 2	0.1814	103.8459
12	 3	0.1832	103.6485
12	 4	0.1899	102.7682
12	 5	0.2273	97.7638
12	 6	0.2239	98.2373
