ch	pt	m	q
 0	 0	0.1313	111.5028
 0	 1	0.1558	107.2320
 0	 2	0.1147	114.3989
 0	 3	0.1340	110.9947
 0	 4	0.1313	111.5053
 0	 5	0.1367	110.4377
 0	 6	0.1628	105.8287
 0	 7	0.1581	106.6691
 1	 0	0.1413	108.3898
 1	 1	0.1251	111.4447
 1	 2	0.0958	116.8121
 1	 3	0.1448	107.7454
 1	 4	0.1119	113.8454
 1	 5	0.1351	109.4279
 1	 6	0.1149	113.2007
 1	 7	0.1250	111.3249
 2	 0	0.1519	114.4060
 2	 1	0.1498	114.7540
 2	 2	0.1312	117.1426
 2	 3	0.1227	118.3014
 2	 4	0.1380	116.2774
 2	 5	0.1431	115.5043
 2	 6	0.1244	117.9852
 2	 7	0.1536	114.1114
 3	 0	0.1453	110.4327
 3	 1	0.1192	114.8323
 3	 2	0.1185	114.9031
 3	 3	0.1117	116.0548
 3	 4	0.1126	115.8935
 3	 5	0.1387	111.4278
 3	 6	0.1347	112.1262
 3	 7	0.1139	115.5774
 4	 0	0.1855	111.4208
 4	 1	0.1829	111.8149
 4	 2	0.1417	116.9262
 4	 3	0.1583	114.8298
 4	 4	0.1415	116.9427
 4	 5	0.1241	119.0126
 4	 6	0.1224	119.2319
 4	 7	0.1366	117.4467
 5	 0	0.2148	115.5768
 5	 1	0.1750	119.1713
 5	 2	0.1567	120.7197
 5	 3	0.1630	120.1733
 5	 4	0.1679	119.7344
 5	 5	0.1567	120.6202
 5	 6	0.1732	119.1484
 5	 7	0.1591	120.4328
 6	 0	0.2040	101.6670
 6	 1	0.1723	106.8619
 6	 2	0.1319	113.2959
 6	 3	0.1323	113.2529
 6	 4	0.1411	111.8627
 6	 5	0.1387	112.1443
 6	 6	0.1376	112.3200
 6	 7	0.1321	113.2050
 7	 0	0.2319	109.6704
 7	 1	0.1986	113.2944
 7	 2	0.1670	116.6234
 7	 3	0.1543	118.0027
 7	 4	0.1559	117.8426
 7	 5	0.1742	115.7477
 7	 6	0.1511	118.2624
 7	 7	0.1153	122.1221
 8	 0	0.2203	103.4613
 8	 1	0.1916	107.5799
 8	 2	0.1659	111.1471
 8	 3	0.1683	110.8167
 8	 4	0.1657	111.2275
 8	 5	0.1804	109.0097
 8	 6	0.1708	110.4190
 8	 7	0.1816	108.9070
 9	 0	0.1983	103.9796
 9	 1	0.1640	109.3196
 9	 2	0.1592	109.9568
 9	 3	0.1578	110.2461
 9	 4	0.1603	109.8674
 9	 5	0.1727	107.8354
 9	 6	0.1638	109.2311
 9	 7	0.1834	106.2419
10	 0	0.1960	109.7887
10	 1	0.1535	115.2022
10	 2	0.1264	118.5937
10	 3	0.1559	114.7883
10	 4	0.1511	115.4429
10	 5	0.1630	113.7961
10	 6	0.1580	114.4729
10	 7	0.1606	114.1439
11	 0	0.1725	115.4307
11	 1	0.1788	114.7963
11	 2	0.1636	116.4611
11	 3	0.1632	116.4748
11	 4	0.1633	116.4816
11	 5	0.1830	114.1713
11	 6	0.1660	116.0265
11	 7	0.1940	113.0190
12	 0	0.1843	111.0094
12	 1	0.1898	110.3368
12	 2	0.1600	114.0872
12	 3	0.1609	113.9926
12	 4	0.1616	113.9436
12	 5	0.1911	110.0399
12	 6	0.1859	110.7567
12	 7	0.1994	109.0753
13	 0	0.1707	105.4280
13	 1	0.1479	109.3878
13	 2	0.1472	109.4316
13	 3	0.1762	104.4744
13	 4	0.1568	107.8417
13	 5	0.1727	104.9965
13	 6	0.1745	104.7059
13	 7	0.1830	103.2970
14	 0	0.1414	119.0016
14	 1	0.1450	118.6337
14	 2	0.1351	119.6386
14	 3	0.1486	118.1704
14	 4	0.1447	118.6413
14	 5	0.1708	115.6093
14	 6	0.1674	116.0226
14	 7	0.1729	115.4124
15	 0	0.1375	115.0402
15	 1	0.1323	115.8973
15	 2	0.1260	116.7231
15	 3	0.1264	116.6811
15	 4	0.1330	115.7425
15	 5	0.1578	112.1187
15	 6	0.1633	111.3299
