INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	1.999	1.997	1.802	1.804
 0	 1	2.001	2.000	1.910	1.911
 0	 2	2.092	2.097	2.026	2.027
 0	 3	2.154	2.157	2.117	2.119
 0	 4	2.087	2.086	2.132	2.137
 0	 5	2.180	2.175	2.241	2.246
 0	 6	2.261	2.261	2.403	2.405
 0	 7	2.327	2.318	2.463	2.463
 1	 0	2.647	2.546	2.153	2.069
 1	 1	2.615	2.560	2.297	2.249
 1	 2	2.617	2.571	2.380	2.339
 1	 3	2.569	2.522	2.398	2.353
 1	 4	2.589	2.567	2.453	2.435
 1	 5	2.708	2.685	2.614	2.591
 1	 6	2.609	2.607	2.582	2.589
 1	 7	2.683	2.672	2.667	2.658
 2	 0	2.662	2.486	2.193	2.047
 2	 1	2.520	2.399	2.197	2.096
 2	 2	2.531	2.499	2.274	2.244
 2	 3	2.547	2.486	2.380	2.322
 2	 4	2.408	2.375	2.319	2.282
 2	 5	2.515	2.499	2.432	2.420
 2	 6	2.445	2.430	2.420	2.414
 2	 7	2.510	2.511	2.537	2.539
 3	 0	3.094	2.802	2.484	2.257
 3	 1	2.927	2.782	2.564	2.460
 3	 2	2.940	2.782	2.614	2.475
 3	 3	2.748	2.682	2.513	2.452
 3	 4	2.871	2.752	2.686	2.575
 3	 5	2.854	2.811	2.681	2.646
 3	 6	2.932	2.811	2.754	2.637
 3	 7	3.015	2.901	2.907	2.795
 4	 0	2.759	2.521	2.212	2.032
 4	 1	2.516	2.421	2.208	2.128
 4	 2	2.422	2.360	2.175	2.120
 4	 3	2.458	2.394	2.249	2.194
