INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	9.219	7.596	8.026	6.622
 0	 1	11.167	10.173	10.245	9.336
 0	 2	8.678	8.493	8.053	7.888
 0	 3	6.842	6.581	6.302	6.053
 0	 4	7.357	7.232	6.875	6.750
 0	 5	8.936	8.762	8.517	8.348
 0	 6	10.018	9.876	9.463	9.331
 0	 7	9.931	9.837	9.581	9.486
 1	 0	11.580	9.490	9.532	7.835
 1	 1	9.586	8.843	8.113	7.468
 1	 2	12.878	12.590	10.952	10.719
 1	 3	8.981	8.773	7.635	7.489
 1	 4	8.451	8.302	7.215	7.119
 1	 5	9.960	9.724	8.611	8.404
 1	 6	9.374	9.374	8.243	8.240
 1	 7	10.439	10.268	9.082	8.932
 2	 0	9.986	8.141	8.323	6.772
 2	 1	8.791	8.181	7.602	7.082
 2	 2	8.791	8.518	7.598	7.366
 2	 3	13.397	12.778	11.713	11.189
 2	 4	10.097	10.097	8.677	8.660
 2	 5	10.576	10.372	9.385	9.200
 2	 6	11.259	11.116	10.098	9.967
 2	 7	11.280	11.193	10.194	10.112
 3	 0	8.590	7.217	7.188	6.057
 3	 1	9.024	8.113	8.023	7.228
 3	 2	11.021	10.874	9.625	9.458
 3	 3	11.302	10.931	10.077	9.756
 3	 4	9.454	9.244	8.518	8.344
 3	 5	10.722	10.439	9.645	9.399
 3	 6	11.063	11.048	10.122	10.129
 3	 7	11.354	11.136	10.267	10.096
 4	 0	6.897	5.730	5.670	4.711
 4	 1	7.258	6.853	6.379	6.017
 4	 2	7.522	7.497	6.612	6.593
 4	 3	9.209	8.929	8.327	8.039
 4	 4	8.191	8.114	7.468	7.433
 4	 5	11.665	11.496	10.618	10.452
 4	 6	9.334	9.218	8.776	8.654
 4	 7	11.867	11.649	10.766	10.541
 5	 0	6.422	5.725	5.138	4.575
 5	 1	8.033	7.615	6.791	6.454
 5	 2	8.325	8.229	6.928	6.869
 5	 3	10.837	10.323	9.185	8.754
 5	 4	8.312	8.227	7.069	6.991
 5	 5	8.974	8.859	7.725	7.632
 5	 6	13.410	13.171	11.613	11.415
 5	 7	11.616	11.559	9.936	9.891
 6	 0	5.509	4.870	4.464	3.953
 6	 1	6.132	5.772	5.271	4.961
 6	 2	7.943	7.838	6.888	6.820
 6	 3	7.867	7.722	7.032	6.880
 6	 4	8.704	8.665	7.902	7.869
 6	 5	11.591	11.369	10.465	10.273
 6	 6	8.684	8.654	8.082	8.056
 6	 7	9.344	9.174	8.530	8.378
 7	 0	4.450	4.164	3.630	3.391
 7	 1	4.786	4.659	4.199	4.108
 7	 2	5.459	5.453	4.796	4.780
 7	 3	6.819	6.618	5.972	5.803
 7	 4	7.240	7.171	6.532	6.494
 7	 5	8.627	8.501	7.680	7.584
 7	 6	8.566	8.485	7.801	7.728
 7	 7	8.851	8.782	8.054	7.978
