INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	2.757	2.701	2.415	2.372
 0	 1	2.630	2.596	2.371	2.357
 0	 2	2.740	2.739	2.496	2.494
 0	 3	2.704	2.692	2.495	2.485
 0	 4	2.764	2.751	2.576	2.557
 0	 5	2.832	2.774	2.646	2.586
 0	 6	2.856	2.843	2.680	2.665
 0	 7	2.908	2.862	2.682	2.639
 1	 0	2.982	2.980	2.468	2.467
 1	 1	2.924	2.920	2.538	2.536
 1	 2	2.827	2.770	2.461	2.411
 1	 3	2.860	2.815	2.495	2.455
 1	 4	2.718	2.707	2.445	2.435
 1	 5	2.952	2.952	2.617	2.624
 1	 6	3.038	2.964	2.697	2.633
 1	 7	3.182	3.164	2.824	2.808
 2	 0	3.030	3.003	2.434	2.423
 2	 1	2.860	2.843	2.427	2.416
 2	 2	2.947	2.947	2.475	2.477
 2	 3	2.822	2.786	2.391	2.360
 2	 4	2.913	2.910	2.458	2.444
 2	 5	2.882	2.868	2.432	2.423
 2	 6	2.941	2.926	2.501	2.488
 2	 7	2.976	2.916	2.558	2.506
 3	 0	2.107	2.095	1.768	1.760
 3	 1	2.028	1.972	1.811	1.764
 3	 2	1.966	1.896	1.765	1.701
 3	 3	2.104	2.058	1.872	1.818
 3	 4	2.138	2.073	1.944	1.880
 3	 5	2.343	2.277	2.135	2.079
 3	 6	2.174	2.079	2.002	1.919
 3	 7	2.345	2.229	2.160	2.058
 4	 0	2.915	2.943	2.308	2.313
 4	 1	2.934	2.909	2.484	2.471
 4	 2	2.909	2.895	2.443	2.426
 4	 3	2.853	2.822	2.424	2.396
 4	 4	2.925	2.903	2.505	2.488
 4	 5	3.041	3.031	2.647	2.640
 4	 6	3.082	3.051	2.637	2.609
 4	 7	3.176	3.157	2.786	2.773
 5	 0	3.215	3.176	2.608	2.573
 5	 1	2.956	2.883	2.548	2.490
 5	 2	3.033	2.905	2.596	2.486
 5	 3	2.828	2.735	2.481	2.398
 5	 4	2.759	2.666	2.387	2.308
 5	 5	3.004	2.949	2.597	2.551
 5	 6	2.936	2.842	2.551	2.474
 5	 7	3.063	2.996	2.707	2.648
 6	 0	3.290	3.306	2.688	2.698
 6	 1	3.152	3.144	2.734	2.717
 6	 2	3.304	3.279	2.834	2.820
 6	 3	3.304	3.303	2.813	2.810
 6	 4	3.412	3.413	2.933	2.936
 6	 5	3.455	3.435	3.027	3.001
 6	 6	3.518	3.520	3.042	3.046
 6	 7	3.657	3.657	3.164	3.139
 7	 0	3.104	3.017	2.509	2.425
 7	 1	2.973	2.885	2.519	2.445
 7	 2	3.038	2.981	2.587	2.536
 7	 3	2.862	2.749	2.462	2.361
 7	 4	2.864	2.754	2.447	2.355
 7	 5	3.050	2.939	2.672	2.589
 7	 6	3.237	3.055	2.812	2.664
 7	 7	3.124	3.083	2.750	2.716
 8	 0	3.575	3.348	2.871	2.695
 8	 1	3.397	3.279	2.877	2.789
 8	 2	3.352	3.257	2.814	2.729
 8	 3	3.217	3.168	2.741	2.693
 8	 4	3.383	3.318	2.882	2.822
 8	 5	3.447	3.236	2.981	2.805
 8	 6	3.683	3.675	3.140	3.139
 8	 7	3.994	3.926	3.409	3.363
 9	 0	3.105	3.039	2.565	2.503
 9	 1	3.063	2.858	2.555	2.385
 9	 2	3.005	2.966	2.556	2.537
 9	 3	2.937	2.872	2.539	2.480
 9	 4	3.091	2.986	2.600	2.508
 9	 5	3.321	3.193	2.859	2.750
 9	 6	3.327	3.201	2.863	2.751
 9	 7	3.468	3.432	3.010	2.987
10	 0	3.060	3.035	2.563	2.550
10	 1	2.919	2.889	2.572	2.541
10	 2	3.090	3.065	2.646	2.629
10	 3	3.088	3.004	2.699	2.628
10	 4	3.287	3.242	2.843	2.802
10	 5	3.484	3.468	3.110	3.107
10	 6	3.662	3.638	3.224	3.181
10	 7	3.935	3.835	3.436	3.336
11	 0	3.017	2.977	2.431	2.409
11	 1	2.822	2.770	2.468	2.443
11	 2	2.792	2.774	2.474	2.459
11	 3	2.875	2.843	2.565	2.525
11	 4	2.942	2.918	2.585	2.569
11	 5	2.993	2.976	2.713	2.700
11	 6	3.141	3.142	2.903	2.911
11	 7	3.336	3.352	3.050	3.058
12	 0	3.268	3.219	2.687	2.653
12	 1	2.935	2.873	2.523	2.471
12	 2	2.928	2.838	2.443	2.364
12	 3	2.994	2.804	2.551	2.396
12	 4	3.115	3.065	2.624	2.587
12	 5	3.118	2.977	2.689	2.571
12	 6	3.462	3.371	2.920	2.841
12	 7	3.571	3.450	3.030	2.926
13	 0	2.833	2.785	2.368	2.339
13	 1	2.689	2.632	2.316	2.270
13	 2	2.760	2.637	2.375	2.263
13	 3	2.888	2.851	2.521	2.488
13	 4	3.074	2.928	2.687	2.564
13	 5	3.169	3.052	2.850	2.750
13	 6	3.505	3.443	3.124	3.085
13	 7	3.765	3.678	3.383	3.304
14	 0	3.425	3.427	2.785	2.787
14	 1	3.324	3.325	2.843	2.842
14	 2	3.270	3.272	2.833	2.844
14	 3	3.425	3.399	3.004	2.987
14	 4	3.555	3.523	3.083	3.061
14	 5	3.774	3.733	3.293	3.251
14	 6	4.052	4.049	3.511	3.523
14	 7	4.424	4.380	3.815	3.783
15	 0	3.352	3.299	2.739	2.692
15	 1	3.262	3.252	2.763	2.745
15	 2	3.484	3.442	2.956	2.935
15	 3	3.349	3.346	2.919	2.918
15	 4	3.623	3.633	3.091	3.097
15	 5	3.978	3.925	3.464	3.418
15	 6	4.302	4.305	3.757	3.762
15	 7	4.588	4.557	4.011	4.002
16	 0	3.246	3.159	2.663	2.595
16	 1	2.926	2.883	2.504	2.473
16	 2	2.831	2.728	2.451	2.360
16	 3	2.834	2.814	2.416	2.393
16	 4	2.797	2.728	2.389	2.330
16	 5	2.991	2.872	2.607	2.501
16	 6	3.152	3.083	2.749	2.688
16	 7	3.182	3.171	2.752	2.737
17	 0	3.265	3.248	2.716	2.720
17	 1	3.245	3.194	2.789	2.747
17	 2	3.108	2.982	2.666	2.563
17	 3	3.103	3.050	2.715	2.671
17	 4	2.909	2.826	2.570	2.491
17	 5	3.027	2.955	2.659	2.594
17	 6	3.320	3.243	2.910	2.843
17	 7	3.410	3.346	3.009	2.947
18	 0	3.092	2.998	2.527	2.448
18	 1	3.087	3.091	2.700	2.694
18	 2	3.095	2.963	2.644	2.532
18	 3	2.959	2.927	2.616	2.594
18	 4	3.127	3.092	2.710	2.672
18	 5	2.985	2.887	2.622	2.536
18	 6	3.344	3.302	2.956	2.932
18	 7	3.478	3.436	3.069	3.030
19	 0	3.220	3.227	2.624	2.628
19	 1	3.222	3.210	2.766	2.747
19	 2	3.098	3.092	2.729	2.732
19	 3	3.139	3.133	2.812	2.810
19	 4	3.260	3.258	2.912	2.913
19	 5	3.365	3.350	3.036	3.021
19	 6	3.429	3.427	3.119	3.119
19	 7	3.509	3.513	3.225	3.230
20	 0	2.853	2.780	2.330	2.256
20	 1	2.864	2.832	2.449	2.426
20	 2	2.909	2.829	2.471	2.392
20	 3	2.778	2.695	2.393	2.329
20	 4	2.909	2.802	2.513	2.421
20	 5	3.123	3.012	2.644	2.553
20	 6	3.083	2.993	2.669	2.574
20	 7	3.150	2.949	2.774	2.600
