ch	pt	fine_thr	a_fit	b_fit
 2	 4	 3	222.773	0.327
 2	 4	 4	221.771	0.331
 2	 4	 5	220.612	0.275
 2	 4	 6	219.644	0.300
 2	 4	 7	218.581	0.382
 2	 5	 0	226.105	0.264
 2	 5	 1	225.007	0.325
 2	 5	 2	223.932	0.303
 2	 5	 3	222.749	0.322
 2	 5	 4	221.803	0.327
 2	 5	 5	220.622	0.279
 2	 5	 6	219.640	0.295
 2	 5	 7	218.527	0.374
 2	 6	 0	226.102	0.262
 2	 6	 1	224.971	0.271
 2	 6	 2	223.959	0.280
 2	 6	 3	222.752	0.328
 2	 6	 4	221.795	0.324
 2	 6	 5	220.582	0.272
 2	 6	 6	219.588	0.308
 2	 6	 7	218.553	0.358
 2	 7	 0	226.104	0.262
 2	 7	 1	224.949	0.305
 2	 7	 2	223.925	0.272
 2	 7	 3	222.800	0.291
 2	 7	 4	221.770	0.306
 2	 7	 5	220.639	0.265
 2	 7	 6	219.633	0.292
 2	 7	 7	218.549	0.347
 3	 0	 0	220.105	0.413
 3	 0	 1	219.134	0.401
 3	 0	 2	218.138	0.396
 3	 0	 3	217.045	0.493
 3	 0	 4	216.210	0.464
 3	 0	 5	215.078	0.435
 3	 0	 6	214.087	0.437
 3	 0	 7	213.011	0.514
 3	 1	 0	220.140	0.255
 3	 1	 1	219.073	0.338
 3	 1	 2	218.085	0.335
 3	 1	 3	217.024	0.416
 3	 1	 4	216.148	0.451
 3	 1	 5	215.024	0.377
 3	 1	 6	213.969	0.385
 3	 1	 7	212.991	0.594
 3	 2	 0	220.194	0.304
 3	 2	 1	219.091	0.297
 3	 2	 2	218.101	0.251
 3	 2	 3	216.963	0.414
 3	 2	 4	216.203	0.392
 3	 2	 5	215.093	0.255
 3	 2	 6	214.076	0.358
 3	 2	 7	213.021	0.660
 3	 3	 0	220.155	0.319
 3	 3	 1	219.078	0.285
 3	 3	 2	218.083	0.256
 3	 3	 3	217.019	0.376
 3	 3	 4	216.202	0.385
 3	 3	 5	215.052	0.305
 3	 3	 6	214.038	0.308
 3	 3	 7	212.948	0.608
 3	 4	 0	220.123	0.287
 3	 4	 1	219.032	0.310
 3	 4	 2	218.098	0.252
 3	 4	 3	216.982	0.411
 3	 4	 4	216.236	0.400
 3	 4	 5	215.012	0.273
 3	 4	 6	213.983	0.343
 3	 4	 7	212.868	0.608
 3	 5	 0	220.066	0.274
 3	 5	 1	218.957	0.334
 3	 5	 2	218.085	0.255
 3	 5	 3	216.968	0.405
 3	 5	 4	216.082	0.322
 3	 5	 5	215.005	0.273
 3	 5	 6	214.067	0.278
 3	 5	 7	212.934	0.591
 3	 6	 0	220.122	0.287
 3	 6	 1	219.091	0.250
 3	 6	 2	218.044	0.265
 3	 6	 3	217.071	0.378
 3	 6	 4	216.085	0.323
 3	 6	 5	215.020	0.272
 3	 6	 6	214.011	0.357
 3	 6	 7	212.904	0.594
 3	 7	 0	220.123	0.305
 3	 7	 1	219.068	0.322
 3	 7	 2	218.137	0.242
 3	 7	 3	217.026	0.362
 3	 7	 4	216.080	0.357
 3	 7	 5	215.055	0.265
 3	 7	 6	214.066	0.361
 3	 7	 7	212.945	0.552
 4	 0	 0	226.071	0.348
 4	 0	 1	224.926	0.501
 4	 0	 2	223.913	0.459
 4	 0	 3	222.758	0.497
 4	 0	 4	221.939	0.541
 4	 0	 5	220.751	0.470
 4	 0	 6	219.803	0.455
 4	 0	 7	218.742	0.526
 4	 1	 0	226.046	0.324
 4	 1	 1	224.936	0.405
 4	 1	 2	223.892	0.419
 4	 1	 3	222.761	0.436
 4	 1	 4	221.879	0.501
 4	 1	 5	220.726	0.392
