ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 2	 2
 0	 1	 2	 2
 0	 2	 2	 2
 0	 3	 2	 2
 0	 4	 2	 2
 0	 5	 2	 2
 0	 6	 2	 2
 0	 7	 2	 2
 1	 0	 2	 2
 1	 1	 2	 2
 1	 2	 2	 2
 1	 3	 2	 2
 1	 4	 2	 2
 1	 5	 2	 2
 1	 6	 2	 2
 1	 7	 2	 2
 2	 0	 3	 3
 2	 1	 3	 3
 2	 2	 3	 3
 2	 3	 3	 3
 2	 4	 3	 3
 2	 5	 3	 3
 2	 6	 3	 3
 2	 7	 3	 3
 3	 0	 7	 7
 3	 1	 7	 7
 3	 2	 7	 7
 3	 3	 7	 7
 3	 4	 7	 7
 3	 5	 7	 7
 3	 6	 7	 7
 3	 7	 7	 7
 4	 0	 7	 7
 4	 1	 7	 7
 4	 2	 7	 7
 4	 3	 7	 7
 4	 4	 7	 7
 4	 5	 7	 7
 4	 6	 7	 7
 4	 7	 7	 7
 5	 0	 1	 1
 5	 1	 1	 1
 5	 2	 1	 1
 5	 3	 1	 1
 5	 4	 1	 1
 5	 5	 1	 1
 5	 6	 1	 1
 5	 7	 1	 1
 6	 0	 5	 5
 6	 1	 5	 5
 6	 2	 5	 5
 6	 3	 5	 5
 6	 4	 5	 5
 6	 5	 5	 5
 6	 6	 5	 5
 6	 7	 5	 5
 7	 0	 5	 5
 7	 1	 5	 5
 7	 2	 5	 5
 7	 3	 5	 5
 7	 4	 5	 5
 7	 5	 5	 5
 7	 6	 5	 5
 7	 7	 5	 5
 8	 0	 4	 4
 8	 1	 4	 4
 8	 2	 4	 4
 8	 3	 4	 4
 8	 4	 4	 4
 8	 5	 4	 4
 8	 6	 4	 4
 8	 7	 4	 4
 9	 0	 4	 4
 9	 1	 4	 4
 9	 2	 4	 4
 9	 3	 4	 4
 9	 4	 4	 4
 9	 5	 4	 4
 9	 6	 4	 4
 9	 7	 4	 4
10	 0	 7	 7
10	 1	 7	 7
10	 2	 7	 7
10	 3	 7	 7
10	 4	 7	 7
10	 5	 7	 7
10	 6	 7	 7
10	 7	 7	 7
11	 0	 7	 7
11	 1	 7	 7
11	 2	 7	 7
11	 3	 7	 7
11	 4	 7	 7
11	 5	 7	 7
11	 6	 7	 7
11	 7	 7	 7
12	 0	 7	 7
12	 1	 7	 7
12	 2	 7	 7
12	 3	 7	 7
12	 4	 7	 7
12	 5	 7	 7
12	 6	 7	 7
12	 7	 7	 7
13	 0	 3	 3
13	 1	 3	 3
13	 2	 3	 3
13	 3	 3	 3
13	 4	 3	 3
13	 5	 3	 3
13	 6	 3	 3
13	 7	 3	 3
14	 0	 1	 1
14	 1	 1	 1
14	 2	 1	 1
14	 3	 1	 1
14	 4	 1	 1
14	 5	 1	 1
14	 6	 1	 1
14	 7	 1	 1
15	 0	 6	 6
15	 1	 6	 6
15	 2	 6	 6
15	 3	 6	 6
15	 4	 6	 6
15	 5	 6	 6
15	 6	 6	 6
15	 7	 6	 6
16	 0	 2	 2
16	 1	 2	 2
16	 2	 2	 2
16	 3	 2	 2
16	 4	 2	 2
16	 5	 2	 2
16	 6	 2	 2
16	 7	 2	 2
17	 0	 4	 4
17	 1	 4	 4
17	 2	 4	 4
17	 3	 4	 4
17	 4	 4	 4
17	 5	 4	 4
17	 6	 4	 4
17	 7	 4	 4
18	 0	 7	 7
18	 1	 7	 7
18	 2	 7	 7
18	 3	 7	 7
18	 4	 7	 7
18	 5	 7	 7
18	 6	 7	 7
18	 7	 7	 7
19	 0	 0	 0
19	 1	 0	 0
19	 2	 0	 0
19	 3	 0	 0
19	 4	 0	 0
19	 5	 0	 0
19	 6	 0	 0
19	 7	 0	 0
20	 0	 6	 6
20	 1	 6	 6
20	 2	 6	 6
20	 3	 6	 6
20	 4	 6	 6
20	 5	 6	 6
20	 6	 6	 6
20	 7	 6	 6
21	 0	 6	 6
21	 1	 6	 6
21	 2	 6	 6
21	 3	 6	 6
21	 4	 6	 6
21	 5	 6	 6
21	 6	 6	 6
21	 7	 6	 6
22	 0	 0	 0
22	 1	 0	 0
22	 2	 0	 0
22	 3	 0	 0
22	 4	 0	 0
22	 5	 0	 0
22	 6	 0	 0
22	 7	 0	 0
23	 0	 5	 5
23	 1	 5	 5
23	 2	 5	 5
23	 3	 5	 5
23	 4	 5	 5
23	 5	 5	 5
23	 6	 5	 5
23	 7	 5	 5
24	 0	 0	 0
24	 1	 0	 0
24	 2	 0	 0
24	 3	 0	 0
24	 4	 0	 0
24	 5	 0	 0
24	 6	 0	 0
24	 7	 0	 0
25	 0	 0	 0
25	 1	 0	 0
25	 2	 0	 0
25	 3	 0	 0
25	 4	 0	 0
25	 5	 0	 0
25	 6	 0	 0
25	 7	 0	 0
26	 0	 1	 1
26	 1	 1	 1
26	 2	 1	 1
26	 3	 1	 1
26	 4	 1	 1
26	 5	 1	 1
26	 6	 1	 1
26	 7	 1	 1
27	 0	 1	 1
27	 1	 1	 1
27	 2	 1	 1
27	 3	 1	 1
27	 4	 1	 1
27	 5	 1	 1
27	 6	 1	 1
27	 7	 1	 1
28	 0	 4	 4
28	 1	 4	 4
28	 2	 4	 4
28	 3	 4	 4
28	 4	 4	 4
28	 5	 4	 4
28	 6	 4	 4
28	 7	 4	 4
29	 0	 0	 0
29	 1	 0	 0
29	 2	 0	 0
29	 3	 0	 0
29	 4	 0	 0
29	 5	 0	 0
29	 6	 0	 0
29	 7	 0	 0
30	 0	 1	 1
30	 1	 1	 1
30	 2	 1	 1
30	 3	 1	 1
30	 4	 1	 1
30	 5	 1	 1
30	 6	 1	 1
30	 7	 1	 1
31	 0	 7	 7
31	 1	 7	 7
31	 2	 7	 7
31	 3	 7	 7
31	 4	 7	 7
31	 5	 7	 7
31	 6	 7	 7
31	 7	 7	 7
