Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2708	0.2917	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2897	0.0062	0.2917	  3	0.2917	0.0000
0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4375	0.4583	0.4583	0.4577	0.0037	0.4583	  1	0.4583	0.0000
0.6250	0.6250	0.6250	0.6458	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6458	0.6458	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6458	0.6250	0.6250	0.6276	0.0070	0.6250	  4	0.6250	0.0000
0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.7917	0.7917	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.7917	0.7917	0.8125	0.7708	0.8125	0.8125	0.8125	0.7917	0.8125	0.7917	0.8125	0.7917	0.8066	0.0109	0.8125	  8	0.8125	0.0000
1.0000	0.9583	0.9792	0.9583	0.9583	0.9792	0.9583	0.9583	0.9583	0.9583	1.0000	0.9792	0.9583	0.9583	0.9583	0.9583	0.9583	0.9583	0.9583	0.9583	0.9583	0.9792	0.9583	0.9583	0.9583	0.9583	0.9583	1.0000	0.9583	0.9792	0.9583	0.9792	0.9661	0.0137	0.9583	  9	0.9583	0.0000
1.2292	1.2292	1.2500	1.2500	1.2083	1.2708	1.2708	1.2708	1.2500	1.2083	1.2292	1.2500	1.2292	1.2292	1.2500	1.2500	1.2292	1.2708	1.2292	1.2083	1.2500	1.2292	1.2500	1.1875	1.2292	1.2083	1.2708	1.2292	1.2292	1.2708	1.2083	1.2083	1.2370	0.0229	1.2292	  0	1.2370	0.0229
1.5417	1.5000	1.5417	1.5208	1.4792	1.5000	1.4792	1.5000	1.4792	1.4583	1.5208	1.5000	1.5000	1.5000	1.5208	1.5000	1.5208	1.5208	1.4583	1.5208	1.4792	1.5000	1.5417	1.5000	1.4792	1.5000	1.4583	1.5208	1.5208	1.5208	1.4583	1.4792	1.5007	0.0245	1.5000	  0	1.5007	0.0245
1.7708	1.7500	1.7500	1.7708	1.7500	1.7917	1.7708	1.7500	1.7500	1.7500	1.7500	1.7917	1.7500	1.7500	1.7708	1.7500	1.7708	1.7917	1.7708	1.8333	1.7500	1.7500	1.7500	1.7500	1.7292	1.7500	1.7917	1.7500	1.7500	1.7500	1.7500	1.7292	1.7604	0.0212	1.7500	 13	1.7500	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2917	0.2917	0.2917	0.2917	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2708	0.2917	0.2917	0.2708	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2917	0.2897	0.0062	0.2917	  3	0.2917	0.0000
0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.4583	0.0000	0.4583	  0	0.4583	0.0000
0.6250	0.6250	0.6250	0.6458	0.6250	0.6458	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6458	0.6458	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6250	0.6458	0.6250	0.6250	0.6250	0.6250	0.6283	0.0077	0.6250	  5	0.6250	0.0000
0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.7917	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.7917	0.8125	0.7917	0.7917	0.8125	0.7708	0.8125	0.8125	0.7917	0.7917	0.8125	0.7917	0.7917	0.7917	0.8053	0.0114	0.8125	 10	0.8125	0.0000
1.0000	0.9583	0.9792	0.9583	0.9583	0.9792	0.9583	0.9583	0.9583	0.9583	1.0000	0.9583	0.9583	0.9792	0.9792	0.9583	0.9583	0.9792	0.9583	0.9583	0.9583	0.9792	0.9583	0.9583	0.9583	0.9583	0.9583	1.0000	0.9583	0.9792	0.9583	0.9792	0.9674	0.0139	0.9583	 11	0.9583	0.0000
1.2292	1.2292	1.2292	1.2500	1.2083	1.2708	1.2708	1.2708	1.2500	1.2083	1.2292	1.2500	1.2292	1.2708	1.2500	1.2500	1.2708	1.2708	1.2708	1.2083	1.2500	1.2292	1.2500	1.1875	1.2292	1.2083	1.2708	1.2292	1.2292	1.2708	1.2083	1.2083	1.2402	0.0248	1.2396	  0	1.2402	0.0248
