# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
48	10	00	0	180
48	10	00	1	225
48	10	00	2	169
48	10	00	3	183
48	10	00	4	171
48	10	00	5	181
48	10	00	6	202
48	10	00	7	183
48	10	00	8	191
48	10	00	9	198
48	10	00	10	221
48	10	00	11	157
48	10	00	12	195
48	10	00	13	215
48	10	00	14	155
48	10	00	15	190
48	10	00	16	176
48	10	00	17	197
48	10	00	18	187
48	10	00	19	137
48	10	00	20	172
48	10	00	21	191
48	10	00	22	149
48	10	00	23	181
48	10	00	24	191
48	10	00	25	218
48	10	00	26	169
48	10	00	27	224
48	10	00	28	226
48	10	00	29	174
48	10	00	30	166
48	10	10	31	197
48	10	00	0	176
48	10	00	1	222
48	10	00	2	168
48	10	00	3	179
48	10	00	4	170
48	10	00	5	180
48	10	00	6	203
48	10	00	7	184
48	10	00	8	191
48	10	00	9	194
48	10	00	10	218
48	10	00	11	153
48	10	00	12	191
48	10	00	13	214
48	10	00	14	152
48	10	00	15	190
48	10	00	16	175
48	10	00	17	193
48	10	00	18	186
48	10	00	19	130
48	10	00	20	172
48	10	00	21	187
48	10	00	22	148
48	10	00	23	175
48	10	00	24	188
48	10	00	25	222
48	10	00	26	169
48	10	00	27	227
48	10	00	28	224
48	10	00	29	173
48	10	00	30	167
48	10	10	31	195
48	10	00	0	175
48	10	00	1	222
48	10	00	2	167
48	10	00	3	178
48	10	00	4	170
48	10	00	5	178
48	10	00	6	202
48	10	00	7	182
48	10	00	8	193
48	10	00	9	195
48	10	00	10	224
48	10	00	11	155
48	10	00	12	195
48	10	00	13	215
48	10	00	14	151
48	10	00	15	192
48	10	00	16	175
48	10	00	17	194
48	10	00	18	191
48	10	00	19	135
48	10	00	20	174
48	10	00	21	190
48	10	00	22	151
48	10	00	23	178
48	10	00	24	189
48	10	00	25	218
48	10	00	26	168
48	10	00	27	225
48	10	00	28	224
48	10	00	29	174
48	10	00	30	165
48	10	10	31	198
48	10	00	0	173
48	10	00	1	218
48	10	00	2	169
48	10	00	3	178
48	10	00	4	169
48	10	00	5	180
48	10	00	6	202
48	10	00	7	183
48	10	00	8	189
48	10	00	9	194
48	10	00	10	219
48	10	00	11	152
48	10	00	12	192
48	10	00	13	210
48	10	00	14	149
48	10	00	15	188
48	10	00	16	171
48	10	00	17	193
48	10	00	18	186
48	10	00	19	133
48	10	00	20	174
48	10	00	21	186
48	10	00	22	147
48	10	00	23	174
48	10	00	24	189
48	10	00	25	218
48	10	00	26	169
48	10	00	27	225
48	10	00	28	223
48	10	00	29	172
48	10	00	30	164
48	10	10	31	194
48	10	00	0	174
48	10	00	1	218
48	10	00	2	166
48	10	00	3	178
48	10	00	4	169
48	10	00	5	178
48	10	00	6	200
48	10	00	7	180
48	10	00	8	188
48	10	00	9	194
48	10	00	10	221
48	10	00	11	153
48	10	00	12	192
48	10	00	13	213
48	10	00	14	152
48	10	00	15	191
48	10	00	16	172
48	10	00	17	194
48	10	00	18	187
48	10	00	19	132
48	10	00	20	173
48	10	00	21	187
48	10	00	22	147
48	10	00	23	175
48	10	00	24	188
48	10	00	25	218
48	10	00	26	166
48	10	00	27	224
48	10	00	28	226
48	10	00	29	173
48	10	00	30	166
48	10	10	31	196
48	10	00	0	173
48	10	00	1	218
48	10	00	2	166
48	10	00	3	180
48	10	00	4	168
48	10	00	5	177
48	10	00	6	197
48	10	00	7	186
48	10	00	8	187
48	10	00	9	191
48	10	00	10	221
48	10	00	11	150
48	10	00	12	188
48	10	00	13	213
48	10	00	14	149
48	10	00	15	188
48	10	00	16	170
48	10	00	17	191
48	10	00	18	187
48	10	00	19	130
48	10	00	20	168
48	10	00	21	187
48	10	00	22	148
48	10	00	23	174
48	10	00	24	186
48	10	00	25	217
48	10	00	26	167
48	10	00	27	221
48	10	00	28	221
48	10	00	29	174
48	10	00	30	164
48	10	10	31	196
48	10	00	0	176
48	10	00	1	219
48	10	00	2	168
48	10	00	3	174
48	10	00	4	169
48	10	00	5	179
48	10	00	6	198
48	10	00	7	180
48	10	00	8	187
48	10	00	9	193
48	10	00	10	215
48	10	00	11	154
48	10	00	12	187
48	10	00	13	210
48	10	00	14	149
48	10	00	15	188
48	10	00	16	169
48	10	00	17	187
48	10	00	18	183
48	10	00	19	132
48	10	00	20	169
48	10	00	21	184
48	10	00	22	148
48	10	00	23	174
48	10	00	24	186
48	10	00	25	218
48	10	00	26	168
48	10	00	27	222
48	10	00	28	219
48	10	00	29	170
48	10	00	30	161
48	10	10	31	191
48	10	00	0	173
48	10	00	1	217
48	10	00	2	164
48	10	00	3	175
48	10	00	4	168
48	10	00	5	176
48	10	00	6	200
48	10	00	7	181
48	10	00	8	186
48	10	00	9	191
48	10	00	10	218
48	10	00	11	154
48	10	00	12	187
48	10	00	13	210
48	10	00	14	147
48	10	00	15	184
48	10	00	16	173
48	10	00	17	189
48	10	00	18	185
48	10	00	19	130
48	10	00	20	170
48	10	00	21	185
48	10	00	22	146
48	10	00	23	173
48	10	00	24	185
48	10	00	25	212
48	10	00	26	166
48	10	00	27	222
48	10	00	28	221
48	10	00	29	170
48	10	00	30	158
48	10	10	31	193
48	10	00	0	171
48	10	00	1	216
48	10	00	2	165
48	10	00	3	176
48	10	00	4	167
48	10	00	5	176
48	10	00	6	198
48	10	00	7	178
48	10	00	8	184
48	10	00	9	187
48	10	00	10	216
48	10	00	11	151
48	10	00	12	186
48	10	00	13	210
48	10	00	14	144
48	10	00	15	182
48	10	00	16	170
48	10	00	17	188
48	10	00	18	184
48	10	00	19	130
48	10	00	20	169
48	10	00	21	184
48	10	00	22	146
48	10	00	23	171
48	10	00	24	183
48	10	00	25	212
48	10	00	26	166
48	10	00	27	220
48	10	00	28	218
48	10	00	29	169
48	10	00	30	160
48	10	10	31	193
48	10	00	0	171
48	10	00	1	215
48	10	00	2	164
48	10	00	3	174
48	10	00	4	168
48	10	00	5	177
48	10	00	6	198
48	10	00	7	179
48	10	00	8	189
48	10	00	9	192
48	10	00	10	221
48	10	00	11	153
48	10	00	12	190
48	10	00	13	214
48	10	00	14	149
48	10	00	15	189
48	10	00	16	171
48	10	00	17	188
48	10	00	18	181
48	10	00	19	132
48	10	00	20	170
48	10	00	21	185
48	10	00	22	148
48	10	00	23	171
48	10	00	24	182
48	10	00	25	213
48	10	00	26	168
48	10	00	27	220
48	10	00	28	218
48	10	00	29	170
48	10	00	30	160
48	10	10	31	193
48	10	00	0	174
48	10	00	1	217
48	10	00	2	165
48	10	00	3	174
48	10	00	4	168
48	10	00	5	176
48	10	00	6	199
48	10	00	7	177
48	10	00	8	186
48	10	00	9	189
48	10	00	10	217
48	10	00	11	148
48	10	00	12	186
48	10	00	13	210
48	10	00	14	144
48	10	00	15	182
48	10	00	16	170
48	10	00	17	187
48	10	00	18	186
48	10	00	19	126
48	10	00	20	168
48	10	00	21	184
48	10	00	22	146
48	10	00	23	172
48	10	00	24	185
48	10	00	25	217
48	10	00	26	165
48	10	00	27	221
48	10	00	28	221
48	10	00	29	169
48	10	00	30	160
48	10	10	31	191
48	10	00	0	170
48	10	00	1	216
48	10	00	2	163
48	10	00	3	173
48	10	00	4	166
48	10	00	5	176
48	10	00	6	196
48	10	00	7	180
48	10	00	8	188
48	10	00	9	190
48	10	00	10	218
48	10	00	11	151
48	10	00	12	190
48	10	00	13	210
48	10	00	14	146
48	10	00	15	186
48	10	00	16	169
48	10	00	17	185
48	10	00	18	183
48	10	00	19	127
48	10	00	20	168
48	10	00	21	182
48	10	00	22	143
48	10	00	23	171
48	10	00	24	183
48	10	00	25	210
48	10	00	26	165
48	10	00	27	217
48	10	00	28	217
48	10	00	29	169
48	10	00	30	157
48	10	10	31	192
48	10	00	0	171
48	10	00	1	214
48	10	00	2	162
48	10	00	3	173
48	10	00	4	163
48	10	00	5	170
48	10	00	6	198
48	10	00	7	178
48	10	00	8	184
48	10	00	9	187
48	10	00	10	214
48	10	00	11	150
48	10	00	12	185
48	10	00	13	208
48	10	00	14	144
48	10	00	15	181
48	10	00	16	168
48	10	00	17	186
48	10	00	18	180
48	10	00	19	128
48	10	00	20	166
48	10	00	21	181
48	10	00	22	145
48	10	00	23	170
48	10	00	24	182
48	10	00	25	213
48	10	00	26	163
48	10	00	27	218
48	10	00	28	216
48	10	00	29	167
48	10	00	30	158
48	10	10	31	191
48	10	00	0	171
48	10	00	1	215
48	10	00	2	162
48	10	00	3	177
48	10	00	4	168
48	10	00	5	176
48	10	00	6	196
48	10	00	7	178
48	10	00	8	181
48	10	00	9	186
48	10	00	10	216
48	10	00	11	148
48	10	00	12	182
48	10	00	13	206
48	10	00	14	141
48	10	00	15	181
48	10	00	16	170
48	10	00	17	186
48	10	00	18	181
48	10	00	19	125
48	10	00	20	168
48	10	00	21	181
48	10	00	22	144
48	10	00	23	173
48	10	00	24	185
48	10	00	25	213
48	10	00	26	164
48	10	00	27	219
48	10	00	28	219
48	10	00	29	169
48	10	00	30	156
48	10	10	31	191
48	10	00	0	173
48	10	00	1	215
48	10	00	2	164
48	10	00	3	173
48	10	00	4	165
48	10	00	5	174
48	10	00	6	195
48	10	00	7	176
48	10	00	8	180
48	10	00	9	185
48	10	00	10	214
48	10	00	11	149
48	10	00	12	185
48	10	00	13	205
48	10	00	14	141
48	10	00	15	184
48	10	00	16	168
48	10	00	17	189
48	10	00	18	181
48	10	00	19	128
48	10	00	20	168
48	10	00	21	181
48	10	00	22	146
48	10	00	23	168
48	10	00	24	184
48	10	00	25	212
48	10	00	26	164
48	10	00	27	218
48	10	00	28	216
48	10	00	29	165
48	10	00	30	157
48	10	10	31	190
48	10	00	0	169
48	10	00	1	214
48	10	00	2	162
48	10	00	3	173
48	10	00	4	164
48	10	00	5	172
48	10	00	6	195
48	10	00	7	177
48	10	00	8	185
48	10	00	9	189
48	10	00	10	215
48	10	00	11	150
48	10	00	12	187
48	10	00	13	207
48	10	00	14	146
48	10	00	15	185
48	10	00	16	168
48	10	00	17	187
48	10	00	18	182
48	10	00	19	127
48	10	00	20	165
48	10	00	21	181
48	10	00	22	145
48	10	00	23	168
48	10	00	24	183
48	10	00	25	210
48	10	00	26	164
48	10	00	27	217
48	10	00	28	215
48	10	00	29	168
48	10	00	30	160
48	10	10	31	189
