# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0011 
# Shaper = 110 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
73	10	00	0	171
73	10	00	1	214
73	10	00	2	164
73	10	00	3	178
73	10	00	4	167
73	10	00	5	177
73	10	00	6	200
73	10	00	7	177
73	10	00	8	188
73	10	00	9	193
73	10	00	10	218
73	10	00	11	155
73	10	00	12	189
73	10	00	13	214
73	10	00	14	153
73	10	00	15	189
73	10	00	16	169
73	10	00	17	189
73	10	00	18	178
73	10	00	19	130
73	10	00	20	171
73	10	00	21	185
73	10	00	22	143
73	10	00	23	173
73	10	00	24	183
73	10	00	25	213
73	10	00	26	165
73	10	00	27	219
73	10	00	28	219
73	10	00	29	170
73	10	00	30	160
73	10	10	31	193
73	10	00	0	171
73	10	00	1	215
73	10	00	2	164
73	10	00	3	177
73	10	00	4	164
73	10	00	5	176
73	10	00	6	202
73	10	00	7	178
73	10	00	8	190
73	10	00	9	190
73	10	00	10	220
73	10	00	11	152
73	10	00	12	186
73	10	00	13	210
73	10	00	14	147
73	10	00	15	186
73	10	00	16	173
73	10	00	17	193
73	10	00	18	181
73	10	00	19	131
73	10	00	20	171
73	10	00	21	185
73	10	00	22	146
73	10	00	23	173
73	10	00	24	183
73	10	00	25	214
73	10	00	26	165
73	10	00	27	224
73	10	00	28	220
73	10	00	29	169
73	10	00	30	158
73	10	10	31	194
73	10	00	0	171
73	10	00	1	215
73	10	00	2	164
73	10	00	3	177
73	10	00	4	163
73	10	00	5	176
73	10	00	6	198
73	10	00	7	179
73	10	00	8	193
73	10	00	9	195
73	10	00	10	221
73	10	00	11	154
73	10	00	12	192
73	10	00	13	213
73	10	00	14	152
73	10	00	15	193
73	10	00	16	171
73	10	00	17	188
73	10	00	18	182
73	10	00	19	130
73	10	00	20	168
73	10	00	21	185
73	10	00	22	149
73	10	00	23	172
73	10	00	24	183
73	10	00	25	214
73	10	00	26	165
73	10	00	27	222
73	10	00	28	219
73	10	00	29	171
73	10	00	30	160
73	10	10	31	193
73	10	00	0	170
73	10	00	1	214
73	10	00	2	160
73	10	00	3	172
73	10	00	4	166
73	10	00	5	173
73	10	00	6	196
73	10	00	7	179
73	10	00	8	185
73	10	00	9	190
73	10	00	10	215
73	10	00	11	152
73	10	00	12	187
73	10	00	13	209
73	10	00	14	145
73	10	00	15	186
73	10	00	16	165
73	10	00	17	185
73	10	00	18	178
73	10	00	19	128
73	10	00	20	170
73	10	00	21	178
73	10	00	22	142
73	10	00	23	169
73	10	00	24	182
73	10	00	25	210
73	10	00	26	161
73	10	00	27	222
73	10	00	28	218
73	10	00	29	167
73	10	00	30	156
73	10	10	31	191
73	10	00	0	170
73	10	00	1	214
73	10	00	2	163
73	10	00	3	177
73	10	00	4	163
73	10	00	5	173
73	10	00	6	197
73	10	00	7	178
73	10	00	8	187
73	10	00	9	192
73	10	00	10	219
73	10	00	11	151
73	10	00	12	187
73	10	00	13	210
73	10	00	14	149
73	10	00	15	186
73	10	00	16	170
73	10	00	17	187
73	10	00	18	178
73	10	00	19	128
73	10	00	20	169
73	10	00	21	182
73	10	00	22	144
73	10	00	23	171
73	10	00	24	182
73	10	00	25	213
73	10	00	26	162
73	10	00	27	219
73	10	00	28	217
73	10	00	29	171
73	10	00	30	157
73	10	10	31	192
73	10	00	0	170
73	10	00	1	212
73	10	00	2	162
73	10	00	3	171
73	10	00	4	161
73	10	00	5	172
73	10	00	6	194
73	10	00	7	174
73	10	00	8	178
73	10	00	9	185
73	10	00	10	212
73	10	00	11	145
73	10	00	12	181
73	10	00	13	205
73	10	00	14	140
73	10	00	15	178
73	10	00	16	166
73	10	00	17	187
73	10	00	18	176
73	10	00	19	125
73	10	00	20	164
73	10	00	21	179
73	10	00	22	140
73	10	00	23	170
73	10	00	24	179
73	10	00	25	210
73	10	00	26	163
73	10	00	27	214
73	10	00	28	217
73	10	00	29	165
73	10	00	30	158
73	10	10	31	187
73	10	00	0	169
73	10	00	1	212
73	10	00	2	160
73	10	00	3	170
73	10	00	4	163
73	10	00	5	170
73	10	00	6	196
73	10	00	7	176
73	10	00	8	184
73	10	00	9	188
73	10	00	10	216
73	10	00	11	148
73	10	00	12	185
73	10	00	13	205
73	10	00	14	144
73	10	00	15	183
73	10	00	16	168
73	10	00	17	184
73	10	00	18	179
73	10	00	19	125
73	10	00	20	166
73	10	00	21	180
73	10	00	22	141
73	10	00	23	170
73	10	00	24	179
73	10	00	25	209
73	10	00	26	160
73	10	00	27	218
73	10	00	28	215
73	10	00	29	164
73	10	00	30	154
73	10	10	31	188
73	10	00	0	170
73	10	00	1	213
73	10	00	2	160
73	10	00	3	170
73	10	00	4	164
73	10	00	5	173
73	10	00	6	196
73	10	00	7	175
73	10	00	8	183
73	10	00	9	187
73	10	00	10	214
73	10	00	11	146
73	10	00	12	186
73	10	00	13	210
73	10	00	14	147
73	10	00	15	185
73	10	00	16	168
73	10	00	17	185
73	10	00	18	178
73	10	00	19	125
73	10	00	20	166
73	10	00	21	181
73	10	00	22	144
73	10	00	23	169
73	10	00	24	179
73	10	00	25	210
73	10	00	26	161
73	10	00	27	220
73	10	00	28	218
73	10	00	29	165
73	10	00	30	155
73	10	10	31	189
