ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	219.270	0.319
 0	 0	 1	218.223	0.309
 0	 0	 2	217.316	0.311
 0	 0	 3	216.190	0.343
 0	 0	 4	215.267	0.342
 0	 0	 5	214.182	0.309
 0	 0	 6	213.195	0.340
 0	 0	 7	212.121	0.306
 0	 1	 0	219.288	0.259
 0	 1	 1	218.189	0.228
 0	 1	 2	217.321	0.256
 0	 1	 3	216.219	0.272
 0	 1	 4	215.295	0.287
 0	 1	 5	214.136	0.250
 0	 1	 6	213.260	0.269
 0	 1	 7	212.140	0.313
 0	 2	 0	219.224	0.215
 0	 2	 1	218.274	0.254
 0	 2	 2	217.301	0.243
 0	 2	 3	216.219	0.255
 0	 2	 4	215.329	0.260
 0	 2	 5	214.202	0.260
 0	 2	 6	213.254	0.244
 0	 2	 7	212.157	0.277
 0	 3	 0	219.296	0.231
 0	 3	 1	218.293	0.258
 0	 3	 2	217.276	0.235
 0	 3	 3	216.215	0.232
 0	 3	 4	215.267	0.207
 0	 3	 5	214.205	0.259
 0	 3	 6	213.210	0.217
 0	 3	 7	212.169	0.273
 0	 4	 0	219.337	0.218
 0	 4	 1	218.282	0.202
 0	 4	 2	217.262	0.212
 0	 4	 3	216.186	0.240
 0	 4	 4	215.321	0.220
 0	 4	 5	214.219	0.254
 0	 4	 6	213.239	0.209
 0	 4	 7	212.115	0.245
 0	 5	 0	219.342	0.229
 0	 5	 1	218.307	0.195
 0	 5	 2	217.288	0.204
 0	 5	 3	216.258	0.243
 0	 5	 4	215.289	0.201
 0	 5	 5	214.226	0.225
 0	 5	 6	213.236	0.210
 0	 5	 7	212.209	0.307
 0	 6	 0	219.359	0.224
 0	 6	 1	218.370	0.230
 0	 6	 2	217.361	0.232
 0	 6	 3	216.298	0.256
 0	 6	 4	215.326	0.219
 0	 6	 5	214.265	0.268
 0	 6	 6	213.352	0.258
 0	 6	 7	212.238	0.347
 0	 7	 0	219.384	0.239
 0	 7	 1	218.376	0.264
 0	 7	 2	217.350	0.226
 0	 7	 3	216.371	0.312
 0	 7	 4	215.306	0.197
 0	 7	 5	214.348	0.304
 0	 7	 6	213.373	0.286
 0	 7	 7	212.312	0.331
 1	 0	 0	221.636	0.286
 1	 0	 1	220.543	0.295
 1	 0	 2	219.528	0.272
 1	 0	 3	218.457	0.275
 1	 0	 4	217.573	0.282
 1	 0	 5	216.418	0.283
 1	 0	 6	215.410	0.285
 1	 0	 7	214.231	0.299
 1	 1	 0	221.671	0.260
 1	 1	 1	220.527	0.237
 1	 1	 2	219.537	0.244
 1	 1	 3	218.455	0.242
 1	 1	 4	217.576	0.244
 1	 1	 5	216.378	0.242
 1	 1	 6	215.375	0.259
 1	 1	 7	214.223	0.226
 1	 2	 0	221.709	0.230
 1	 2	 1	220.540	0.243
 1	 2	 2	219.556	0.231
 1	 2	 3	218.329	0.189
 1	 2	 4	217.557	0.239
 1	 2	 5	216.351	0.236
 1	 2	 6	215.339	0.241
 1	 2	 7	214.237	0.222
 1	 3	 0	221.707	0.199
 1	 3	 1	220.516	0.240
 1	 3	 2	219.588	0.234
 1	 3	 3	218.406	0.224
 1	 3	 4	217.516	0.238
 1	 3	 5	216.383	0.240
 1	 3	 6	215.353	0.225
 1	 3	 7	214.266	0.239
 1	 4	 0	221.717	0.202
 1	 4	 1	220.521	0.231
 1	 4	 2	219.560	0.223
 1	 4	 3	218.445	0.210
 1	 4	 4	217.549	0.228
 1	 4	 5	216.437	0.234
 1	 4	 6	215.405	0.231
 1	 4	 7	214.231	0.223
 1	 5	 0	221.715	0.202
 1	 5	 1	220.494	0.230
 1	 5	 2	219.585	0.221
 1	 5	 3	218.472	0.215
 1	 5	 4	217.568	0.214
 1	 5	 5	216.430	0.207
 1	 5	 6	215.396	0.235
 1	 5	 7	214.277	0.236
 1	 6	 0	221.710	0.248
 1	 6	 1	220.520	0.234
 1	 6	 2	219.621	0.217
 1	 6	 3	218.488	0.216
 1	 6	 4	217.563	0.234
 1	 6	 5	216.449	0.229
 1	 6	 6	215.468	0.232
 1	 6	 7	214.254	0.217
 1	 7	 0	221.677	0.255
 1	 7	 1	220.543	0.233
 1	 7	 2	219.595	0.217
 1	 7	 3	218.487	0.213
 1	 7	 4	217.551	0.233
 1	 7	 5	216.391	0.229
 1	 7	 6	215.458	0.221
 1	 7	 7	214.281	0.262
