ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 0	 0
 0	 1	 0	 0
 0	 2	 0	 0
 0	 3	 0	 0
 0	 4	 0	 0
 0	 5	 0	 0
 0	 6	 0	 0
 0	 7	 0	 0
 1	 0	 3	 3
 1	 1	 3	 3
 1	 2	 2	 2
 1	 3	 3	 3
 1	 4	 3	 3
 1	 5	 3	 3
 1	 6	 3	 3
 1	 7	 3	 3
 2	 0	 2	 2
 2	 1	 2	 2
 2	 2	 2	 2
 2	 3	 2	 2
 2	 4	 2	 2
 2	 5	 2	 2
 2	 6	 2	 2
 2	 7	 2	 2
 3	 0	 1	 1
 3	 1	 1	 1
 3	 2	 1	 1
 3	 3	 1	 1
 3	 4	 1	 1
 3	 5	 1	 1
 3	 6	 1	 1
 3	 7	 1	 1
 4	 0	 0	 0
 4	 1	 0	 0
 4	 2	 0	 0
 4	 3	 0	 0
 4	 4	 0	 0
 4	 5	 0	 0
 4	 6	 0	 0
 4	 7	 0	 0
 5	 0	 4	 4
 5	 1	 4	 4
 5	 2	 4	 4
 5	 3	 4	 4
 5	 4	 4	 4
 5	 5	 4	 4
 5	 6	 4	 4
 5	 7	 4	 4
 6	 0	 7	 7
 6	 1	 7	 7
 6	 2	 7	 7
 6	 3	 7	 7
 6	 4	 7	 7
 6	 5	 7	 7
 6	 6	 7	 7
 6	 7	 7	 7
 7	 0	 2	 2
 7	 1	 2	 2
 7	 2	 2	 2
 7	 3	 2	 2
 7	 4	 2	 2
 7	 5	 2	 2
 7	 6	 2	 2
 7	 7	 2	 2
 8	 0	 5	 5
 8	 1	 5	 5
 8	 2	 5	 5
 8	 3	 5	 5
 8	 4	 5	 5
 8	 5	 5	 5
 8	 6	 5	 5
 8	 7	 5	 5
 9	 0	 2	 2
 9	 1	 2	 2
 9	 2	 2	 2
 9	 3	 2	 2
 9	 4	 2	 2
 9	 5	 2	 2
 9	 6	 2	 2
 9	 7	 2	 2
10	 0	 0	 0
10	 1	 0	 0
10	 2	 0	 0
10	 3	 0	 0
10	 4	 0	 0
10	 5	 0	 0
10	 6	 0	 0
10	 7	 0	 0
11	 0	 7	 7
11	 1	 7	 7
11	 2	 7	 7
11	 3	 7	 7
11	 4	 7	 7
11	 5	 7	 7
11	 6	 7	 7
11	 7	 7	 7
12	 0	 7	 7
12	 1	 7	 7
12	 2	 7	 7
12	 3	 7	 7
12	 4	 7	 7
12	 5	 7	 7
12	 6	 7	 7
12	 7	 7	 7
13	 0	 0	 0
13	 1	 0	 0
13	 2	 0	 0
13	 3	 0	 0
13	 4	 0	 0
13	 5	 0	 0
13	 6	 0	 0
13	 7	 0	 0
14	 0	 3	 3
14	 1	 3	 3
14	 2	 3	 3
14	 3	 3	 3
14	 4	 3	 3
14	 5	 3	 3
14	 6	 3	 3
14	 7	 3	 3
15	 0	 7	 7
15	 1	 7	 7
15	 2	 7	 7
15	 3	 7	 7
15	 4	 7	 7
15	 5	 7	 7
15	 6	 7	 7
15	 7	 7	 7
16	 0	 1	 1
16	 1	 1	 1
16	 2	 1	 1
16	 3	 1	 1
16	 4	 1	 1
16	 5	 1	 1
16	 6	 1	 1
16	 7	 1	 1
17	 0	 0	 0
17	 1	 0	 0
17	 2	 0	 0
17	 3	 0	 0
17	 4	 0	 0
17	 5	 0	 0
17	 6	 0	 0
17	 7	 0	 0
18	 0	 2	 2
18	 1	 2	 2
18	 2	 2	 2
18	 3	 2	 2
18	 4	 2	 2
18	 5	 2	 2
18	 6	 2	 2
18	 7	 2	 2
19	 0	 7	 7
19	 1	 7	 7
19	 2	 7	 7
19	 3	 7	 7
19	 4	 7	 7
19	 5	 7	 7
19	 6	 7	 7
19	 7	 7	 7
20	 0	 4	 4
20	 1	 4	 4
20	 2	 4	 4
20	 3	 4	 4
20	 4	 4	 4
20	 5	 4	 4
20	 6	 4	 4
20	 7	 4	 4
21	 0	 0	 0
21	 1	 0	 0
21	 2	 0	 0
21	 3	 0	 0
21	 4	 0	 0
21	 5	 0	 0
21	 6	 0	 0
21	 7	 0	 0
22	 0	 2	 2
22	 1	 2	 2
22	 2	 2	 2
22	 3	 2	 2
22	 4	 2	 2
22	 5	 2	 2
22	 6	 2	 2
22	 7	 2	 2
23	 0	 6	 6
23	 1	 6	 6
23	 2	 6	 6
23	 3	 6	 6
23	 4	 6	 6
23	 5	 6	 6
23	 6	 6	 6
23	 7	 6	 6
24	 0	 3	 3
24	 1	 3	 3
24	 2	 3	 3
24	 3	 3	 3
24	 4	 3	 3
24	 5	 3	 3
24	 6	 3	 3
24	 7	 3	 3
25	 0	 0	 0
25	 1	 0	 0
25	 2	 0	 0
25	 3	 0	 0
25	 4	 0	 0
25	 5	 0	 0
25	 6	 0	 0
25	 7	 0	 0
26	 0	 7	 7
26	 1	 7	 7
26	 2	 7	 7
26	 3	 7	 7
26	 4	 7	 7
26	 5	 7	 7
26	 6	 7	 7
26	 7	 7	 7
27	 0	 0	 0
27	 1	 0	 0
27	 2	 0	 0
27	 3	 0	 0
27	 4	 0	 0
27	 5	 0	 0
27	 6	 0	 0
27	 7	 0	 0
28	 0	 7	 7
28	 1	 7	 7
28	 2	 7	 7
28	 3	 7	 7
28	 4	 7	 7
28	 5	 7	 7
28	 6	 7	 7
28	 7	 7	 7
29	 0	 3	 3
29	 1	 3	 3
29	 2	 3	 3
29	 3	 3	 3
29	 4	 3	 3
29	 5	 3	 3
29	 6	 3	 3
29	 7	 3	 3
30	 0	 4	 4
30	 1	 4	 4
30	 2	 4	 4
30	 3	 4	 4
30	 4	 4	 4
30	 5	 4	 4
30	 6	 4	 4
30	 7	 4	 4
31	 0	 4	 4
31	 1	 4	 4
31	 2	 4	 4
31	 3	 4	 4
31	 4	 4	 4
31	 5	 4	 4
31	 6	 4	 4
31	 7	 4	 4
