INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	5.662	5.079	5.047	4.541
 0	 1	5.761	5.206	5.374	4.870
 0	 2	6.248	6.147	6.017	5.942
 0	 3	6.417	6.179	6.298	6.075
 0	 4	6.174	6.113	6.146	6.132
 0	 5	6.030	5.940	5.991	5.911
 0	 6	6.270	6.155	6.345	6.230
 0	 7	9.369	9.063	9.500	9.183
 1	 0	8.357	7.329	7.070	6.203
 1	 1	7.478	7.073	6.597	6.262
 1	 2	6.505	6.412	5.757	5.678
 1	 3	7.606	7.323	6.844	6.599
 1	 4	8.682	8.560	8.119	8.011
 1	 5	7.115	7.080	6.849	6.825
 1	 6	8.357	8.210	8.133	8.006
 1	 7	8.416	8.190	8.342	8.100
 2	 0	6.919	6.193	5.859	5.252
 2	 1	6.814	6.384	5.985	5.614
 2	 2	6.422	6.382	5.680	5.656
 2	 3	6.636	6.425	6.027	5.809
 2	 4	7.549	7.506	6.904	6.878
 2	 5	6.579	6.537	6.074	6.066
 2	 6	9.282	9.056	8.594	8.390
 2	 7	7.640	7.429	7.224	7.011
 3	 0	5.456	4.966	4.547	4.148
 3	 1	6.866	6.314	6.241	5.739
 3	 2	7.054	6.935	6.333	6.242
 3	 3	6.849	6.617	6.296	6.089
 3	 4	8.155	8.141	7.599	7.566
 3	 5	7.373	7.335	7.028	6.986
 3	 6	8.538	8.385	8.073	7.944
 3	 7	8.059	7.896	7.649	7.488
 4	 0	4.606	4.232	3.874	3.573
 4	 1	5.827	5.394	5.155	4.786
 4	 2	6.595	6.513	6.033	5.971
 4	 3	5.839	5.647	5.367	5.190
 4	 4	6.619	6.553	6.186	6.121
 4	 5	7.296	7.235	6.817	6.798
 4	 6	7.864	7.826	7.454	7.418
 4	 7	8.596	8.416	8.310	8.135
 5	 0	4.806	4.454	3.969	3.669
 5	 1	6.119	5.796	5.439	5.148
 5	 2	6.618	6.528	5.918	5.847
 5	 3	6.864	6.608	6.286	6.037
 5	 4	7.196	7.162	6.733	6.705
 5	 5	6.186	6.143	5.883	5.858
 5	 6	8.434	8.193	8.005	7.750
 5	 7	8.171	7.938	7.803	7.575
 6	 0	4.734	4.575	3.768	3.646
 6	 1	5.497	5.316	4.704	4.554
 6	 2	6.420	6.398	5.640	5.627
 6	 3	6.549	6.189	5.880	5.556
 6	 4	7.533	7.463	6.961	6.908
 6	 5	7.041	6.885	6.495	6.330
 6	 6	8.592	8.465	8.055	7.943
 6	 7	8.629	8.423	8.087	7.895
 7	 0	4.536	4.466	3.576	3.508
 7	 1	5.219	5.115	4.507	4.425
 7	 2	6.012	5.892	5.276	5.181
 7	 3	5.782	5.658	5.137	5.011
 7	 4	7.081	6.990	6.381	6.301
 7	 5	6.301	6.277	5.775	5.755
 7	 6	7.646	7.480	6.968	6.821
 7	 7	7.951	7.757	7.259	7.071
 8	 0	4.389	4.334	3.583	3.531
 8	 1	4.706	4.569	4.158	4.019
 8	 2	5.317	5.235	4.767	4.691
 8	 3	5.470	5.419	5.046	5.011
 8	 4	5.128	5.124	4.756	4.712
 8	 5	4.836	4.803	4.549	4.521
 8	 6	4.975	4.956	4.758	4.755
 8	 7	5.323	5.252	4.976	4.908
 9	 0	4.779	4.614	3.953	3.832
 9	 1	5.400	5.100	4.751	4.487
 9	 2	5.796	5.655	5.141	5.005
 9	 3	5.127	5.023	4.727	4.645
 9	 4	5.590	5.490	5.158	5.084
 9	 5	5.127	5.062	4.771	4.708
 9	 6	5.412	5.335	5.114	5.046
 9	 7	4.995	4.905	4.719	4.654
10	 0	5.643	5.343	4.602	4.379
10	 1	5.655	5.466	4.743	4.578
10	 2	5.927	5.753	5.166	5.018
10	 3	5.460	5.393	4.901	4.830
10	 4	5.708	5.573	5.134	5.007
10	 5	5.506	5.451	5.120	5.074
10	 6	5.252	5.186	5.011	4.963
10	 7	5.482	5.442	5.160	5.099
11	 0	4.721	4.303	3.972	3.638
11	 1	5.532	5.169	4.801	4.497
11	 2	5.186	5.183	4.650	4.634
11	 3	4.734	4.669	4.350	4.299
11	 4	5.272	5.213	4.816	4.749
11	 5	4.581	4.511	4.279	4.218
11	 6	4.868	4.769	4.610	4.530
11	 7	5.000	4.982	4.810	4.804
12	 0	4.677	4.406	3.886	3.652
12	 1	5.153	5.004	4.526	4.376
12	 2	5.730	5.647	5.172	5.103
12	 3	5.711	5.597	5.276	5.187
12	 4	5.541	5.483	5.154	5.085
12	 5	4.952	4.811	4.709	4.574
12	 6	4.854	4.792	4.690	4.644
12	 7	5.372	5.334	5.204	5.159
13	 0	6.317	5.711	5.117	4.624
