ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 7	 7
 0	 1	 7	 7
 0	 2	 7	 7
 0	 3	 7	 7
 0	 4	 7	 7
 0	 5	 7	 7
 0	 6	 7	 7
 0	 7	 7	 7
 1	 0	 3	 3
 1	 1	 3	 3
 1	 2	 3	 3
 1	 3	 3	 3
 1	 4	 3	 3
 1	 5	 3	 3
 1	 6	 3	 3
 1	 7	 3	 3
 2	 0	 3	 3
 2	 1	 3	 3
 2	 2	 3	 3
 2	 3	 3	 3
 2	 4	 3	 3
 2	 5	 3	 3
 2	 6	 3	 3
 2	 7	 3	 3
 3	 0	 5	 5
 3	 1	 5	 5
 3	 2	 5	 5
 3	 3	 5	 4
 3	 4	 5	 5
 3	 5	 5	 5
 3	 6	 5	 4
 3	 7	 5	 4
 4	 0	 6	 6
 4	 1	 6	 6
 4	 2	 6	 6
 4	 3	 6	 6
 4	 4	 6	 6
 4	 5	 6	 6
 4	 6	 6	 6
 4	 7	 6	 6
 5	 0	 7	 7
 5	 1	 7	 7
 5	 2	 7	 7
 5	 3	 7	 7
 5	 4	 7	 7
 5	 5	 7	 7
 5	 6	 7	 7
 5	 7	 7	 7
 6	 0	 0	 0
 6	 1	 0	 0
 6	 2	 0	 0
 6	 3	 0	 0
 6	 4	 0	 0
 6	 5	 0	 0
 6	 6	 0	 0
 6	 7	 0	 0
 7	 0	 0	 0
 7	 1	 0	 0
 7	 2	 0	 0
 7	 3	 0	 0
 7	 4	 0	 0
 7	 5	 0	 0
 7	 6	 0	 0
 7	 7	 0	 0
 8	 0	 7	 7
 8	 1	 7	 7
 8	 2	 7	 7
 8	 3	 7	 7
 8	 4	 7	 7
 8	 5	 7	 7
 8	 6	 7	 7
 8	 7	 7	 7
 9	 0	 2	 2
 9	 1	 3	 2
 9	 2	 2	 2
 9	 3	 2	 2
 9	 4	 2	 2
 9	 5	 2	 2
 9	 6	 3	 2
 9	 7	 2	 2
10	 0	 7	 7
10	 1	 7	 7
10	 2	 7	 7
10	 3	 7	 7
10	 4	 7	 7
10	 5	 7	 7
10	 6	 7	 7
10	 7	 7	 7
11	 0	 5	 5
11	 1	 5	 5
11	 2	 5	 5
11	 3	 5	 5
11	 4	 5	 5
11	 5	 5	 5
11	 6	 5	 5
11	 7	 5	 5
12	 0	 5	 5
12	 1	 5	 5
12	 2	 5	 5
12	 3	 5	 5
12	 4	 5	 5
12	 5	 5	 5
12	 6	 5	 5
12	 7	 5	 5
13	 0	 4	 4
13	 1	 4	 4
13	 2	 4	 4
13	 3	 4	 4
13	 4	 4	 4
13	 5	 4	 4
13	 6	 4	 4
13	 7	 4	 4
14	 0	 7	 7
14	 1	 7	 7
14	 2	 7	 7
14	 3	 7	 7
14	 4	 7	 7
14	 5	 7	 7
14	 6	 7	 7
14	 7	 7	 7
15	 0	 2	 2
15	 1	 2	 2
15	 2	 2	 2
15	 3	 2	 2
15	 4	 2	 2
15	 5	 2	 2
15	 6	 2	 2
15	 7	 2	 2
