ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	226.562	0.348
 0	 0	 1	225.387	0.328
 0	 0	 2	224.358	0.413
 0	 0	 3	223.174	0.431
 0	 0	 4	222.312	0.388
 0	 0	 5	221.230	0.403
 0	 0	 6	220.225	0.396
 0	 0	 7	219.144	0.415
 0	 1	 0	226.477	0.288
 0	 1	 1	225.310	0.292
 0	 1	 2	224.371	0.384
 0	 1	 3	223.238	0.356
 0	 1	 4	222.295	0.378
 0	 1	 5	221.263	0.413
 0	 1	 6	220.239	0.392
 0	 1	 7	219.155	0.400
 0	 2	 0	226.442	0.277
 0	 2	 1	225.254	0.216
 0	 2	 2	224.403	0.332
 0	 2	 3	223.266	0.387
 0	 2	 4	222.361	0.337
 0	 2	 5	221.220	0.377
 0	 2	 6	220.261	0.393
 0	 2	 7	219.200	0.402
 0	 3	 0	226.467	0.248
 0	 3	 1	225.363	0.259
 0	 3	 2	224.417	0.346
 0	 3	 3	223.322	0.346
 0	 3	 4	222.393	0.344
 0	 3	 5	221.261	0.380
 0	 3	 6	220.274	0.383
 0	 3	 7	219.247	0.381
 0	 4	 0	226.426	0.234
 0	 4	 1	225.347	0.227
 0	 4	 2	224.413	0.335
 0	 4	 3	223.289	0.350
 0	 4	 4	222.391	0.346
 0	 4	 5	221.318	0.348
 0	 4	 6	220.235	0.384
 0	 4	 7	219.178	0.395
 0	 5	 0	226.419	0.258
 0	 5	 1	225.305	0.226
 0	 5	 2	224.418	0.341
 0	 5	 3	223.307	0.330
 0	 5	 4	222.371	0.380
 0	 5	 5	221.299	0.392
 0	 5	 6	220.272	0.372
 0	 5	 7	219.181	0.403
 0	 6	 0	226.414	0.233
 0	 6	 1	225.337	0.355
 0	 6	 2	224.391	0.302
 0	 6	 3	223.283	0.366
 0	 6	 4	222.405	0.323
 0	 6	 5	221.246	0.382
 0	 6	 6	220.238	0.383
 0	 6	 7	219.180	0.384
 0	 7	 0	226.440	0.241
 0	 7	 1	225.356	0.345
 0	 7	 2	224.396	0.308
 0	 7	 3	223.211	0.385
 0	 7	 4	222.330	0.345
 0	 7	 5	221.201	0.338
 0	 7	 6	220.251	0.365
 0	 7	 7	219.196	0.362
 1	 0	 0	220.610	0.344
 1	 0	 1	219.473	0.324
 1	 0	 2	218.528	0.381
 1	 0	 3	217.439	0.370
 1	 0	 4	216.522	0.402
 1	 0	 5	215.396	0.403
 1	 0	 6	214.445	0.417
 1	 0	 7	213.300	0.389
 1	 1	 0	220.584	0.310
 1	 1	 1	219.478	0.296
 1	 1	 2	218.508	0.360
 1	 1	 3	217.449	0.385
 1	 1	 4	216.494	0.409
 1	 1	 5	215.386	0.412
 1	 1	 6	214.427	0.410
 1	 1	 7	213.321	0.395
 1	 2	 0	220.595	0.293
 1	 2	 1	219.450	0.292
 1	 2	 2	218.530	0.414
 1	 2	 3	217.430	0.363
 1	 2	 4	216.482	0.381
 1	 2	 5	215.400	0.429
 1	 2	 6	214.415	0.433
 1	 2	 7	213.286	0.394
 1	 3	 0	220.581	0.277
 1	 3	 1	219.488	0.279
 1	 3	 2	218.544	0.411
 1	 3	 3	217.438	0.392
 1	 3	 4	216.466	0.415
 1	 3	 5	215.374	0.407
 1	 3	 6	214.416	0.396
 1	 3	 7	213.303	0.427
 1	 4	 0	220.589	0.271
 1	 4	 1	219.455	0.238
 1	 4	 2	218.551	0.417
 1	 4	 3	217.449	0.426
 1	 4	 4	216.498	0.424
 1	 4	 5	215.374	0.428
 1	 4	 6	214.426	0.399
 1	 4	 7	213.230	0.413
 1	 5	 0	220.593	0.280
 1	 5	 1	219.443	0.266
 1	 5	 2	218.504	0.402
 1	 5	 3	217.436	0.428
 1	 5	 4	216.514	0.450
 1	 5	 5	215.369	0.439
 1	 5	 6	214.401	0.445
 1	 5	 7	213.274	0.424
 1	 6	 0	220.622	0.258
 1	 6	 1	219.463	0.429
 1	 6	 2	218.507	0.425
 1	 6	 3	217.460	0.407
 1	 6	 4	216.516	0.417
 1	 6	 5	215.382	0.463
 1	 6	 6	214.394	0.423
 1	 6	 7	213.316	0.394
 1	 7	 0	220.594	0.283
 1	 7	 1	219.465	0.403
 1	 7	 2	218.519	0.392
 1	 7	 3	217.423	0.417
 1	 7	 4	216.498	0.415
 1	 7	 5	215.362	0.421
 1	 7	 6	214.388	0.419
 1	 7	 7	213.294	0.419
 2	 0	 0	220.470	0.370
 2	 0	 1	219.352	0.344
 2	 0	 2	218.444	0.411
 2	 0	 3	217.383	0.429
 2	 0	 4	216.488	0.447
 2	 0	 5	215.336	0.455
 2	 0	 6	214.349	0.425
 2	 0	 7	213.291	0.413
 2	 1	 0	220.437	0.317
 2	 1	 1	219.336	0.320
 2	 1	 2	218.433	0.419
 2	 1	 3	217.403	0.439
 2	 1	 4	216.459	0.451
 2	 1	 5	215.360	0.465
 2	 1	 6	214.394	0.455
 2	 1	 7	213.316	0.421
 2	 2	 0	220.451	0.287
 2	 2	 1	219.355	0.286
 2	 2	 2	218.436	0.468
 2	 2	 3	217.433	0.413
 2	 2	 4	216.449	0.435
 2	 2	 5	215.357	0.476
 2	 2	 6	214.345	0.504
 2	 2	 7	213.293	0.480
 2	 3	 0	220.434	0.294
 2	 3	 1	219.372	0.289
 2	 3	 2	218.475	0.466
 2	 3	 3	217.401	0.464
 2	 3	 4	216.387	0.476
 2	 3	 5	215.380	0.435
 2	 3	 6	214.365	0.476
 2	 3	 7	213.374	0.450
 2	 4	 0	220.441	0.275
 2	 4	 1	219.387	0.259
 2	 4	 2	218.443	0.459
 2	 4	 3	217.373	0.469
 2	 4	 4	216.408	0.492
 2	 4	 5	215.314	0.473
 2	 4	 6	214.367	0.436
 2	 4	 7	213.260	0.463
 2	 5	 0	220.410	0.285
 2	 5	 1	219.360	0.280
 2	 5	 2	218.461	0.457
 2	 5	 3	217.372	0.495
 2	 5	 4	216.444	0.521
 2	 5	 5	215.313	0.493
