GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.313	140.315	0.9999	0.359	1.316	140.048	0.9999	0.323	1.473	136.383	0.9999	1.651	1.471	136.426	0.9999	1.726
 0	 1	1.128	141.365	0.9999	0.294	1.130	141.267	0.9999	0.303	1.210	139.301	0.9966	1.253	1.208	139.312	0.9966	1.232
 0	 2	1.061	140.020	1.0000	0.075	1.062	139.892	1.0000	0.055	1.102	139.182	0.9973	1.020	1.099	139.227	0.9975	1.012
 0	 3	1.024	139.200	0.9995	0.488	1.025	139.132	0.9994	0.541	1.043	139.070	0.9976	1.221	1.042	139.057	0.9978	1.252
 0	 4	0.992	138.885	0.9999	0.211	0.992	138.885	0.9999	0.211	0.996	139.042	0.9979	1.019	0.989	139.362	0.9980	1.278
 0	 5	0.947	139.215	0.9999	0.154	0.947	139.215	0.9999	0.154	0.953	138.650	0.9980	1.165	0.951	138.662	0.9980	1.265
 0	 6	0.940	137.255	1.0000	0.110	0.940	137.255	1.0000	0.110	0.929	137.957	0.9981	0.998	0.929	137.933	0.9981	1.135
 0	 7	0.894	138.140	1.0000	0.123	0.893	138.248	1.0000	0.129	0.882	137.942	0.9983	1.006	0.881	137.951	0.9983	1.105
 1	 0	1.400	186.500	1.0000	0.211	1.402	186.366	0.9999	0.272	1.655	177.887	1.0000	0.931	1.656	177.790	1.0000	0.965
 1	 1	1.239	185.100	0.9998	0.416	1.243	184.801	0.9998	0.395	1.404	179.233	0.9963	1.035	1.404	179.184	0.9963	1.006
