ch	pt	m	q
22	 4	0.2560	96.5707
22	 5	0.2581	96.1498
22	 6	0.2656	94.7208
22	 7	0.2276	102.0911
23	 0	0.2440	114.2264
23	 1	0.2371	115.1348
23	 2	0.2403	114.7109
23	 3	0.2599	112.1983
23	 4	0.2855	108.9828
23	 5	0.2789	109.8739
23	 6	0.3022	106.8194
23	 7	0.2716	110.7251
24	 0	0.2401	114.6185
24	 1	0.2242	116.6701
24	 2	0.2526	112.9247
24	 3	0.2444	114.0542
24	 4	0.2648	111.4722
24	 5	0.2822	109.2689
24	 6	0.2879	108.5526
24	 7	0.2640	111.6294
25	 0	0.2326	109.6204
25	 1	0.1920	115.9625
25	 2	0.2076	113.4780
25	 3	0.2315	109.8175
25	 4	0.2462	107.6146
25	 5	0.2281	110.5092
25	 6	0.2437	108.0731
25	 7	0.2179	112.0426
26	 0	0.2147	114.9096
26	 1	0.2244	113.4421
26	 2	0.2315	112.4506
26	 3	0.2241	113.5785
26	 4	0.2515	109.6989
26	 5	0.2535	109.5087
26	 6	0.2777	105.9371
26	 7	0.2413	111.1975
27	 0	0.2324	115.6698
27	 1	0.2006	119.8084
27	 2	0.2251	116.5924
27	 3	0.2213	117.1492
27	 4	0.2950	107.6553
27	 5	0.2709	110.8251
27	 6	0.2574	112.6122
27	 7	0.2755	110.2351
28	 0	0.2098	117.2904
28	 1	0.2210	115.7516
28	 2	0.2004	118.5163
28	 3	0.2383	113.3886
28	 4	0.2530	111.5177
28	 5	0.2860	107.0916
28	 6	0.2757	108.4520
28	 7	0.2463	112.4837
29	 0	0.1679	117.2977
29	 1	0.1763	115.8709
29	 2	0.1947	112.7088
29	 3	0.2048	111.0126
29	 4	0.2465	104.1031
29	 5	0.2706	100.0078
29	 6	0.2012	111.8308
29	 7	0.2455	104.2540
30	 0	0.1568	121.1730
30	 1	0.1677	119.4300
30	 2	0.1603	120.5719
30	 3	0.1826	117.0849
30	 4	0.2155	112.0940
30	 5	0.2007	114.4472
30	 6	0.2051	113.7123
30	 7	0.1884	116.3149
31	 0	0.1316	123.0079
31	 1	0.1676	116.7390
31	 2	0.1553	118.8240
31	 3	0.2003	111.0478
31	 4	0.2372	104.7898
31	 5	0.2209	107.6192
31	 6	0.2109	109.3933
31	 7	0.1940	112.3015
