INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
14	 7	4.827	4.109	4.308	3.655
15	 0	3.210	3.009	2.590	2.430
15	 1	3.177	3.173	2.699	2.689
15	 2	3.244	3.136	2.789	2.698
15	 3	3.417	3.285	2.935	2.821
15	 4	3.651	3.514	3.087	2.961
15	 5	4.046	3.786	3.612	3.365
15	 6	4.045	3.707	3.576	3.281
15	 7	4.752	4.214	4.146	3.666
16	 0	3.213	3.043	2.672	2.528
16	 1	3.241	3.052	2.851	2.685
16	 2	3.192	3.120	2.743	2.684
16	 3	3.128	3.115	2.742	2.729
16	 4	3.232	3.119	2.883	2.783
16	 5	3.416	3.363	3.030	2.990
16	 6	3.346	3.335	3.008	2.989
16	 7	3.483	3.432	3.166	3.134
17	 0	3.228	3.117	2.649	2.556
17	 1	3.144	3.106	2.700	2.646
17	 2	3.136	3.095	2.765	2.730
17	 3	3.325	3.243	2.886	2.829
17	 4	3.188	3.100	2.880	2.801
17	 5	3.520	3.474	3.151	3.102
17	 6	3.489	3.367	3.237	3.118
17	 7	3.488	3.399	3.265	3.182
18	 0	3.228	3.105	2.690	2.579
18	 1	3.074	3.010	2.708	2.654
18	 2	3.218	3.128	2.778	2.701
18	 3	3.136	3.113	2.777	2.768
18	 4	3.127	3.113	2.801	2.793
18	 5	3.300	3.230	2.951	2.886
18	 6	3.517	3.323	3.195	3.022
18	 7	3.544	3.519	3.223	3.198
19	 0	2.522	2.481	2.125	2.089
19	 1	2.661	2.605	2.334	2.282
19	 2	2.721	2.668	2.388	2.358
19	 3	2.772	2.735	2.428	2.401
19	 4	2.720	2.708	2.425	2.415
19	 5	2.861	2.822	2.592	2.556
19	 6	2.876	2.820	2.657	2.609
19	 7	2.883	2.820	2.650	2.589
20	 0	3.987	3.684	3.270	3.026
20	 1	4.137	3.886	3.456	3.244
20	 2	3.797	3.645	3.190	3.062
20	 3	3.708	3.601	3.061	2.977
20	 4	4.030	3.840	3.358	3.198
20	 5	3.863	3.737	3.369	3.266
20	 6	4.114	3.884	3.586	3.410
20	 7	3.840	3.599	3.365	3.152
21	 0	3.797	3.304	3.127	2.727
21	 1	3.426	3.225	2.971	2.803
21	 2	3.267	3.200	2.815	2.765
21	 3	3.229	3.231	2.817	2.812
21	 4	3.242	3.222	2.833	2.825
21	 5	3.260	3.171	2.891	2.808
21	 6	3.334	3.299	2.996	2.964
21	 7	3.476	3.434	3.146	3.099
22	 0	3.689	3.138	3.073	2.627
22	 1	3.417	3.201	2.984	2.800
22	 2	3.253	3.208	2.799	2.754
22	 3	3.226	3.092	2.849	2.737
22	 4	3.177	3.084	2.815	2.751
22	 5	3.246	3.173	2.940	2.881
22	 6	3.302	3.240	2.984	2.938
22	 7	3.548	3.474	3.205	3.136
23	 0	3.936	3.803	3.334	3.208
23	 1	3.782	3.375	3.271	2.922
23	 2	3.491	3.347	3.020	2.904
23	 3	3.678	3.492	3.212	3.042
23	 4	3.771	3.526	3.326	3.117
23	 5	3.918	3.668	3.456	3.244
23	 6	3.808	3.615	3.409	3.216
23	 7	3.985	3.773	3.572	3.381
24	 0	3.978	3.737	3.231	3.035
