ch	pt	m	q
 0	 0	0.1182	119.5148
 0	 1	0.2058	106.1567
 0	 2	0.1653	112.1853
 0	 3	0.1474	114.9525
 0	 4	0.1385	116.3217
 0	 5	0.1245	118.4298
 0	 6	0.1786	110.0714
 0	 7	0.2037	106.3523
 1	 0	0.1229	120.0736
 1	 1	0.1342	118.4509
 1	 2	0.1521	115.7526
 1	 3	0.1365	118.0037
 1	 4	0.1382	117.7877
 1	 5	0.1450	116.7752
 1	 6	0.1464	116.4351
 1	 7	0.1420	117.1610
 2	 0	0.1772	114.2616
 2	 1	0.2119	109.7082
 2	 2	0.1490	117.8214
 2	 3	0.1470	118.1218
 2	 4	0.1472	118.0723
 2	 5	0.1643	115.8157
 2	 6	0.1631	115.8520
 2	 7	0.1758	114.2710
 3	 0	0.1613	123.7549
 3	 1	0.2097	119.5841
 3	 2	0.2251	118.1263
 3	 3	0.1645	123.3586
 3	 4	0.1477	124.7741
 3	 5	0.1439	125.0944
 3	 6	0.2071	119.5511
 3	 7	0.2031	120.0189
 4	 0	0.1519	119.3687
 4	 1	0.1933	114.4207
 4	 2	0.1731	116.6824
 4	 3	0.1488	119.6569
 4	 4	0.1555	118.8313
 4	 5	0.1195	123.1281
 4	 6	0.1518	119.1125
 4	 7	0.1546	118.8925
 5	 0	0.1793	111.3708
 5	 1	0.2060	107.4436
 5	 2	0.1876	109.9848
 5	 3	0.1672	113.0063
 5	 4	0.1696	112.6482
 5	 5	0.1544	114.8708
 5	 6	0.1879	109.8476
 5	 7	0.1660	113.1221
 6	 0	0.1870	113.7538
 6	 1	0.2124	110.5090
 6	 2	0.1712	115.5946
 6	 3	0.1464	118.8007
 6	 4	0.1332	120.4592
 6	 5	0.1258	121.3987
 6	 6	0.1523	117.8641
 6	 7	0.1358	120.0754
 7	 0	0.2054	110.2186
 7	 1	0.2394	105.6494
 7	 2	0.2250	107.4493
 7	 3	0.1939	111.6518
 7	 4	0.1884	112.3708
 7	 5	0.1668	115.2393
 7	 6	0.1613	115.8252
 7	 7	0.1870	112.5667
 8	 0	0.2255	106.6606
 8	 1	0.2434	104.1980
 8	 2	0.2367	105.0087
 8	 3	0.2128	108.3207
 8	 4	0.1996	110.0763
 8	 5	0.2051	109.3274
 8	 6	0.2056	109.1519
 8	 7	0.2013	109.8624
 9	 0	0.2305	107.0241
 9	 1	0.2306	106.9460
 9	 2	0.2149	108.9049
 9	 3	0.1927	111.8582
 9	 4	0.1912	112.0554
 9	 5	0.2053	110.2168
 9	 6	0.2255	107.4224
 9	 7	0.2319	106.6361
10	 0	0.1827	114.9618
10	 1	0.1942	113.5780
10	 2	0.1845	114.5975
10	 3	0.1736	116.0284
10	 4	0.1507	118.7996
10	 5	0.1711	116.2492
10	 6	0.1738	115.7795
10	 7	0.1891	114.0207
11	 0	0.1786	119.0714
11	 1	0.2027	116.5645
11	 2	0.1869	118.0027
11	 3	0.1929	117.4391
11	 4	0.1693	119.8921
11	 5	0.2062	116.0886
11	 6	0.1865	117.9762
11	 7	0.2059	116.1083
12	 0	0.1857	112.7953
12	 1	0.2051	110.1946
12	 2	0.2091	109.4726
12	 3	0.1797	113.4608
12	 4	0.1937	111.5519
12	 5	0.2093	109.5011
12	 6	0.2107	109.1574
12	 7	0.2339	106.2240
13	 0	0.1504	116.9439
13	 1	0.1847	112.2531
13	 2	0.1647	114.8066
13	 3	0.1681	114.3789
13	 4	0.1625	115.1051
13	 5	0.1887	111.5319
13	 6	0.1853	111.8557
13	 7	0.1933	110.9104
14	 0	0.1287	119.2564
14	 1	0.1385	117.8565
14	 2	0.1409	117.3856
14	 3	0.1452	116.7796
14	 4	0.1468	116.5324
14	 5	0.1765	112.3965
14	 6	0.1761	112.2542
14	 7	0.1878	110.7248
15	 0	0.1058	124.1776
15	 1	0.1417	119.6142
15	 2	0.1428	119.3106
15	 3	0.1540	117.9425
15	 4	0.1406	119.6045
15	 5	0.1530	118.0161
15	 6	0.1556	117.5586
15	 7	0.1709	115.7932
16	 0	0.1323	119.1444
16	 1	0.2152	107.6036
16	 2	0.2280	105.6862
16	 3	0.2245	106.2188
16	 4	0.2217	106.5868
16	 5	0.2247	106.1544
16	 6	0.2217	106.4451
16	 7	0.2493	102.6840
17	 0	0.1362	118.2899
17	 1	0.1870	111.1283
17	 2	0.2112	107.5284
17	 3	0.1898	110.6217
17	 4	0.2061	108.2730
17	 5	0.2344	104.2478
17	 6	0.2123	107.2605
17	 7	0.2131	107.2377
18	 0	0.1532	117.9141
18	 1	0.2037	111.4596
18	 2	0.2018	111.5349
18	 3	0.2020	111.5400
18	 4	0.1866	113.4844
18	 5	0.2318	107.6632
18	 6	0.2095	110.4046
18	 7	0.1987	111.8712
19	 0	0.1701	110.6144
19	 1	0.1963	106.4099
19	 2	0.2002	105.6607
19	 3	0.1791	109.0561
19	 4	0.1716	110.1744
19	 5	0.1852	108.0872
19	 6	0.1839	108.1114
19	 7	0.2107	103.9773
20	 0	0.2068	112.3844
20	 1	0.2344	108.9996
20	 2	0.2343	108.8580
20	 3	0.2075	112.1872
20	 4	0.2164	111.0711
20	 5	0.2187	110.7756
20	 6	0.2310	109.1297
20	 7	0.2450	107.5481
