INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	2.179	2.130	1.942	1.905
 0	 1	2.147	2.119	2.003	1.982
 0	 2	2.219	2.185	2.137	2.113
 0	 3	2.246	2.243	2.205	2.206
 0	 4	2.254	2.254	2.244	2.261
 0	 5	2.367	2.332	2.351	2.321
 0	 6	2.351	2.341	2.380	2.369
 0	 7	2.593	2.585	2.629	2.619
 1	 0	2.681	2.561	2.268	2.167
 1	 1	2.611	2.540	2.303	2.249
 1	 2	2.385	2.348	2.111	2.079
 1	 3	2.547	2.421	2.292	2.182
 1	 4	2.570	2.501	2.403	2.341
 1	 5	2.570	2.472	2.474	2.382
 1	 6	2.718	2.650	2.645	2.584
 1	 7	2.716	2.625	2.693	2.596
 2	 0	2.489	2.418	2.108	2.050
 2	 1	2.395	2.358	2.104	2.074
 2	 2	2.393	2.305	2.117	2.043
 2	 3	2.383	2.209	2.164	1.997
 2	 4	2.407	2.232	2.201	2.045
 2	 5	2.466	2.452	2.276	2.275
 2	 6	2.688	2.663	2.489	2.467
 2	 7	2.662	2.593	2.517	2.448
 3	 0	2.489	2.466	2.074	2.060
 3	 1	2.449	2.426	2.226	2.205
 3	 2	2.466	2.410	2.214	2.169
 3	 3	2.574	2.493	2.366	2.294
 3	 4	2.668	2.592	2.486	2.409
 3	 5	2.640	2.569	2.517	2.446
 3	 6	2.740	2.662	2.591	2.522
 3	 7	2.777	2.764	2.635	2.621
 4	 0	2.330	2.281	1.959	1.926
 4	 1	2.397	2.330	2.120	2.068
 4	 2	2.476	2.424	2.265	2.222
 4	 3	2.386	2.349	2.193	2.159
 4	 4	2.502	2.456	2.338	2.294
 4	 5	2.637	2.601	2.464	2.444
 4	 6	2.578	2.546	2.444	2.414
 4	 7	2.788	2.761	2.695	2.669
 5	 0	2.609	2.532	2.154	2.086
 5	 1	2.578	2.497	2.292	2.217
 5	 2	2.598	2.554	2.323	2.288
 5	 3	2.533	2.436	2.320	2.226
 5	 4	2.613	2.551	2.445	2.388
 5	 5	2.512	2.475	2.390	2.360
 5	 6	2.734	2.713	2.595	2.566
 5	 7	2.795	2.642	2.669	2.521
 6	 0	3.001	2.954	2.388	2.354
 6	 1	2.887	2.891	2.470	2.476
 6	 2	2.833	2.818	2.489	2.479
 6	 3	2.789	2.776	2.504	2.493
 6	 4	2.751	2.752	2.542	2.547
 6	 5	2.814	2.814	2.596	2.588
 6	 6	2.897	2.898	2.715	2.719
 6	 7	2.956	2.955	2.771	2.769
 7	 0	3.122	3.045	2.461	2.392
 7	 1	2.802	2.735	2.420	2.366
 7	 2	2.802	2.758	2.459	2.426
 7	 3	2.651	2.642	2.355	2.340
 7	 4	2.619	2.578	2.360	2.324
 7	 5	2.793	2.762	2.560	2.533
 7	 6	2.804	2.709	2.556	2.471
 7	 7	2.869	2.816	2.620	2.567
 8	 0	3.191	2.985	2.605	2.432
 8	 1	2.786	2.648	2.462	2.330
 8	 2	2.918	2.801	2.616	2.509
 8	 3	2.806	2.771	2.589	2.562
 8	 4	2.837	2.758	2.631	2.537
 8	 5	3.044	2.912	2.863	2.741
 8	 6	3.082	3.022	2.947	2.899
 8	 7	3.580	3.476	3.346	3.248
 9	 0	2.858	2.762	2.364	2.294
 9	 1	2.760	2.738	2.428	2.408
 9	 2	2.779	2.774	2.465	2.455
 9	 3	2.657	2.647	2.449	2.448
 9	 4	2.924	2.906	2.698	2.691
 9	 5	2.961	2.954	2.756	2.747
 9	 6	3.107	3.106	2.936	2.938
 9	 7	3.260	3.250	3.079	3.084
10	 0	2.964	2.928	2.417	2.399
10	 1	2.760	2.736	2.315	2.291
10	 2	2.778	2.729	2.421	2.380
10	 3	2.768	2.719	2.484	2.435
10	 4	2.766	2.667	2.488	2.396
10	 5	3.053	2.906	2.840	2.705
10	 6	3.107	3.028	2.965	2.899
10	 7	3.460	3.419	3.257	3.204
11	 0	2.298	2.257	1.933	1.908
11	 1	2.390	2.318	2.074	2.017
11	 2	2.300	2.292	2.062	2.049
11	 3	2.356	2.279	2.165	2.099
11	 4	2.594	2.530	2.369	2.304
11	 5	2.620	2.583	2.447	2.415
11	 6	2.771	2.749	2.624	2.612
11	 7	2.956	2.861	2.843	2.759
12	 0	2.429	2.377	2.018	1.970
12	 1	2.499	2.490	2.194	2.177
12	 2	2.576	2.531	2.325	2.287
12	 3	2.621	2.579	2.422	2.390
12	 4	2.745	2.702	2.553	2.505
12	 5	2.797	2.727	2.660	2.593
12	 6	2.977	2.914	2.876	2.824
12	 7	3.268	3.253	3.165	3.147
13	 0	2.761	2.687	2.237	2.176
13	 1	2.568	2.444	2.242	2.145
13	 2	2.826	2.722	2.469	2.380
13	 3	2.865	2.842	2.563	2.526
13	 4	3.070	2.958	2.820	2.719
13	 5	3.297	3.203	3.082	2.980
13	 6	3.444	3.315	3.318	3.217
13	 7	3.894	3.863	3.684	3.642
14	 0	2.582	2.561	2.128	2.117
14	 1	2.541	2.464	2.220	2.155
14	 2	2.808	2.802	2.448	2.452
14	 3	2.810	2.796	2.515	2.499
14	 4	3.016	3.013	2.726	2.733
14	 5	3.237	3.235	3.007	3.005
14	 6	3.374	3.358	3.209	3.217
14	 7	3.665	3.644	3.504	3.493
15	 0	2.608	2.515	2.160	2.085
15	 1	2.533	2.431	2.254	2.175
15	 2	2.528	2.426	2.303	2.219
15	 3	2.828	2.723	2.613	2.525
15	 4	2.932	2.891	2.757	2.719
15	 5	3.097	3.049	2.963	2.919
15	 6	3.222	3.214	3.153	3.157
15	 7	3.753	3.658	3.652	3.580
16	 0	2.540	2.541	2.113	2.111
16	 1	2.491	2.411	2.202	2.136
16	 2	2.434	2.402	2.169	2.152
16	 3	2.488	2.413	2.272	2.205
16	 4	2.560	2.482	2.360	2.290
16	 5	2.567	2.458	2.364	2.282
16	 6	2.746	2.672	2.566	2.502
16	 7	2.705	2.584	2.561	2.445
17	 0	2.678	2.633	2.230	2.197
