ch	pt	m	q
 0	 0	0.1605	107.8133
 0	 1	0.1213	114.1934
 0	 2	0.1381	111.4082
 0	 3	0.1786	104.8732
 0	 4	0.1736	105.7163
 0	 5	0.1466	109.9899
 0	 6	0.1442	110.3990
 0	 7	0.1546	108.7084
 1	 0	0.1328	115.7544
 1	 1	0.1438	114.3526
 1	 2	0.0986	120.3934
 1	 3	0.1388	114.9809
 1	 4	0.1537	113.0015
 1	 5	0.1334	115.6445
 1	 6	0.1487	113.5894
 1	 7	0.1453	114.0712
 2	 0	0.1385	114.8696
 2	 1	0.1417	114.5234
 2	 2	0.1292	116.1508
 2	 3	0.0877	121.8210
 2	 4	0.1217	117.2520
 2	 5	0.1165	117.8496
 2	 6	0.1174	117.7308
 2	 7	0.1261	116.5733
 3	 0	0.1510	112.0203
 3	 1	0.1300	115.1015
 3	 2	0.0999	119.3445
 3	 3	0.0986	119.5539
 3	 4	0.1207	116.4191
 3	 5	0.1109	117.7150
 3	 6	0.1152	117.1123
 3	 7	0.1234	115.9389
 4	 0	0.1782	107.4395
 4	 1	0.1563	110.7326
 4	 2	0.1387	113.2376
 4	 3	0.1156	116.6774
 4	 4	0.1346	113.8805
 4	 5	0.1015	118.6708
 4	 6	0.1313	114.2930
 4	 7	0.1172	116.3806
 5	 0	0.2176	104.5936
 5	 1	0.1665	111.4913
 5	 2	0.1469	114.0466
 5	 3	0.1154	118.2895
 5	 4	0.1553	112.9842
 5	 5	0.1459	114.1640
 5	 6	0.1077	119.2785
 5	 7	0.1340	115.7853
 6	 0	0.2177	112.2166
 6	 1	0.1870	115.3322
 6	 2	0.1365	120.2245
 6	 3	0.1370	120.2002
 6	 4	0.1298	120.9461
 6	 5	0.1021	123.5911
 6	 6	0.1427	119.5873
 6	 7	0.1450	119.3736
 7	 0	0.2255	102.6742
 7	 1	0.2050	105.5797
 7	 2	0.1767	109.3870
 7	 3	0.1524	112.7629
 7	 4	0.1481	113.3865
 7	 5	0.1336	115.2719
 7	 6	0.1442	113.8005
 7	 7	0.1518	112.7873
 8	 0	0.2027	109.1067
 8	 1	0.1872	111.0197
 8	 2	0.1569	114.6098
 8	 3	0.1692	113.1533
 8	 4	0.1621	114.0520
 8	 5	0.1532	115.0537
 8	 6	0.1391	116.7801
 8	 7	0.1724	112.7407
 9	 0	0.2161	104.7568
 9	 1	0.1830	109.2475
 9	 2	0.1347	115.6627
 9	 3	0.1396	115.0432
 9	 4	0.1445	114.4071
 9	 5	0.1516	113.3407
 9	 6	0.1538	113.0659
 9	 7	0.1941	107.6668
10	 0	0.2034	103.6551
10	 1	0.1757	107.8300
10	 2	0.1315	114.2886
10	 3	0.1639	109.5092
10	 4	0.1637	109.5722
10	 5	0.1623	109.7153
10	 6	0.1654	109.2415
10	 7	0.1769	107.5829
11	 0	0.2077	111.5656
11	 1	0.1718	115.4590
11	 2	0.1665	115.9525
11	 3	0.1668	115.9258
11	 4	0.1684	115.7943
11	 5	0.1631	116.2517
11	 6	0.1782	114.6537
11	 7	0.1843	114.0336
12	 0	0.1615	115.6116
12	 1	0.1513	116.8587
12	 2	0.1265	119.5646
12	 3	0.1387	118.2075
12	 4	0.1474	117.2801
12	 5	0.1543	116.4073
12	 6	0.1621	115.5406
12	 7	0.1781	113.7836
13	 0	0.1677	108.3772
13	 1	0.1325	113.8043
13	 2	0.1310	113.9246
13	 3	0.1278	114.4424
13	 4	0.1445	111.9600
13	 5	0.1498	111.0448
13	 6	0.1513	110.8413
13	 7	0.1610	109.3899
14	 0	0.1357	116.0499
14	 1	0.1111	119.3409
14	 2	0.1003	120.6420
14	 3	0.1442	114.9405
14	 4	0.1314	116.6135
14	 5	0.1267	117.1561
14	 6	0.1492	114.2220
14	 7	0.1560	113.4117
15	 0	0.1427	117.2239
15	 1	0.1072	121.4015
15	 2	0.1109	120.8937
15	 3	0.1473	116.7524
15	 4	0.1622	115.0710
15	 5	0.1448	116.9788
15	 6	0.1655	114.5963
15	 7	0.1618	115.0524
16	 0	0.1192	116.1876
16	 1	0.1532	111.2803
16	 2	0.1600	110.2174
16	 3	0.1744	108.1155
16	 4	0.1785	107.5487
16	 5	0.1747	108.0230
16	 6	0.2149	102.1426
16	 7	0.2006	104.2543
17	 0	0.1593	107.5514
